content,Classification,prediction
Paul watched this keyboard in the last five hours,0,1
36 watchers are on this page now,0,1
Eleven viewers are on this page,0,1
finishes in 2 days,0,1
Item finishes in 2 days,0,1
 finishes in ten hours,0,1
Item finishes in ten hours,0,1
Turnaround Time,1,0
Tall Limited Gothic Applique Tracksuit,1,0
sold out,1,0
Popup content ends,1,0
popular times,1,0
Oversized Limited Graphic Overdyed T-shirt,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
New Users Only,1,0
Last Chance,0,1
Get This Deal!,1,0
15 Seconds,1,0
