content,Classification,prediction
For 48 Hours Only,0,1
12 - In Stock,0,1
14 - In Stock,0,1
16 - In Stock,0,1
John watched this 10 minutes ago,0,1
John watched this items just now,0,1
Paul watched this items just now,0,1
John watched this just now,0,1
Paul watched this just now,0,1
John watched this keyboard just now,0,1
Paul watched this keyboard just now,0,1
John watched this 22’’ television just now,0,1
Paul watched this 22’’ television just now,0,1
36 watchers are on this page now,0,1
Eleven viewers are on this page,0,1
Item is selling fast ,0,1
The product is selling fast ,0,1
The product is selling fast in the last two weeks ,0,1
This item ends soon,0,1
finishes in 06:35:25,0,1
Item finishes in 06:35:25,0,1
Deal finishes in 06:35:25,0,1
This item finishes in 06:35:25,0,1
finishes in 2 days,0,1
Item finishes in 2 days,0,1
Deal finishes in 2 days,0,1
This item finishes in 2 days,0,1
 finishes in ten hours,0,1
Item finishes in ten hours,0,1
Deal finishes in ten hours,0,1
This item finishes in ten hours,0,1
Popup content ends,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
New Users Only,1,0
Limited quantities. See product detail pages for availability.,0,1
Last Chance,0,1
I got this jacket on a really good sale a few months ago and i am ecstatic with this. Easy to wash and the embroidery doesn't get damaged like you might expect.,1,0
