content,presence
Sign in,0
Built-in cooking,0
Built-in Appliances,0
Built-in cooking,0
Built-in single ovens,0
Built-in double ovens,0
Built-in microwaves,0
Built-in Appliances,0
Built-in microwaves,0
"46"" - 54"" TVs",0
All-in-one soundbars,0
All-in-one soundbars,0
In-ear headphones,0
2 in 1 laptops,0
All-in-one PCs,0
Set-up & In-store Tutorials,0
USB flash drives,0
In-car accessories,0
To collect in minutes,0
Check availability in your area,0
"46"" - 54""",0
Built-in sound bar,0
Your active filters,0
Price – low to high,0
Price – high to low,0
Discount % (High to Low),0
Check availability in your area,0
1 offer available,0
Crystal display for long-lasting colour & sharp contrast,0
(from 10/02/2021 to 24/08/2021),0
Collection not available,0
Compare (up to 4 items),0
2 offers available,0
Watch what you love in striking 4K detail & stunning clarity,0
(from 11/06/2021 to 04/08/2021),0
Collection not available,0
Compare (up to 4 items),0
1 offer available,0
Watch what you love in striking 4K detail & stunning clarity,0
(from 03/09/2021 to 05/10/2021),0
Collection not available,0
Compare (up to 4 items),0
1 offer available,0
Watch what you love in striking 4K detail & stunning clarity,0
(from 11/06/2021 to 12/08/2021),0
Collection not available,0
Compare (up to 4 items),0
2 offers available,0
Collection not available,0
Compare (up to 4 items),0
2 offers available,0
(from 24/07/2021 to 18/08/2021),0
Collection not available,0
Compare (up to 4 items),0
2 offers available,0
(from 27/08/2021 to 05/10/2021),0
Collection not available,0
Compare (up to 4 items),0
2 offers available,0
(from 19/08/2021 to 05/10/2021),0
Save €200.00,0
Collection not available,0
Compare (up to 4 items),0
2 offers available,0
See every moment in jaw-dropping detail and epic contrast,0
Catch every detail from any angle with no distracting glare,0
(from 03/09/2021 to 23/09/2021),0
Save €200.00,0
Collection not available,0
Compare (up to 4 items),0
2 offers available,0
(from 10/06/2021 to 02/09/2021),0
Save €200.00,0
FREE collection from store,0
Compare (up to 4 items),0
1 offer available,0
NanoCell technology for pure colours in 4K Ultra HD,0
Fast Quad Core Processor 4K & local dimming for bolder contrast,0
(from 30/07/2021 to 25/08/2021),0
Collection not available,0
"Picture perfectWatch your entertainment come to life with the LG 75NANO816PA 75"" Smart 4K Ultra HD HDR LED TV. Because each pixel is placed exactly one nanometre apart, this 4K NanoCell display looks amazing from any angle - enjoy consistent,...",0
Compare (up to 4 items),0
2 offers available,0
Collection not available,0
Compare (up to 4 items),0
1 offer available,0
Collection not available,0
Compare (up to 4 items),0
2 offers available,0
(from 19/08/2021 to 05/10/2021),0
Collection not available,0
Compare (up to 4 items),0
1 offer available,0
See every moment in jaw-dropping detail and epic contrast,0
(from 09/09/2021 to 05/10/2021),0
Collection not available,0
Compare (up to 4 items),0
2 offers available,0
Level up with ultra-smooth & immersive gaming in 4K 120Hz,0
(from 10/06/2021 to 02/09/2021),0
Not available for delivery,0
Email me when back in stock,0
Compare (up to 4 items),0
3 offers available,0
(from 03/09/2021 to 23/09/2021),0
Collection not available,0
Compare (up to 4 items),0
1 offer available,0
(from 23/06/2021 to 05/10/2021),0
Collection not available,0
"Fire TV EditionAll your favourite Prime shows and movies are just moments away on the JVC LT-65CF890 Fire TV Edition 65"" Smart 4K Ultra HD HDR LED TV. The popular Fire TV smart platform is built-in, so it's easy to find something new with...",0
Compare (up to 4 items),0
1 offer available,0
(from 19/08/2021 to 09/09/2021),0
Collection not available,0
Compare (up to 4 items),0
1 offer available,0
(from 29/05/2021 to 02/09/2021),0
Collection not available,0
Compare (up to 4 items),0
"in mind, or want to browse our vast selection of",0
Let's email you when it's back in stock,0
Please complete your details. We'll only use these to contact you about this item.,0
Last name,0
* We'll need this to email you,0
Order online & collect in store,0
About Currys Ireland Limited,0
"©  Currys Ireland Limited, 3rd Floor Office Suite, Omni Shopping Centre, Santry, Dublin 9, Ireland Incorporated in Ireland, a private company with issued shares. Registration Number 259460. VAT Number 8259460C.",0
