Pattern String,Comment,Pattern Category,Pattern Type,Where in website?,Deceptive?,Website Page
Collin P. from Grandview Missouri just bought BURGUNDY TWO BUTTON SUIT ABOUT 5 SECONDS AGO,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://alaindupetit.com/collections/all-suits/products/black-two-button?variant=28038644166
"Faith in Glendale, United States purchased a Choose Your Flavors 5 Bag Sample Pack (Whole Bean) about 1 hour ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://bonescoffee.com/products/strawberry-cheesecake-by-bones-coffee-company-16oz?variant=31049004609
Sharmeen Atif From Karachi just bought Stylish Metal Glasses Frames For Kids-Assorted-NA7157,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://brandsego.com/collections/under-rs-99/products/b-s-n-lip-gloss-na6977
9 people are viewing this.,Product detail,Social Proof,Activity Notification,Product Page,No,https://brightechshop.com/products/ambience-solar-1w?variant=8038410879012
5338 people viewed this in the last hour,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://bumpboxes.com/
"Keith in Champaign, Illinois bought Mini USB Audio Cassette to MP3 Converterabout 56 minutes ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://casettetomp3.com/products/mini-usb-audio-cassette-tape-converter-to-mp3-cd-player-pc?variant=2859265032202&utm_source=fomo&utm_medium=notification
Jamie from Eloy United States purchased a CBD Oil Vape Additives 4 Pack About 7 hours ago,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://cbdfx.com/products/og-kush-cbd-terpenes-vape-pen-50mg/
"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://chainedandable.com/collections/old-english/products/st-christopher-cut-out-pendant-figaro
"Chelsea in Burlington, Wisconsin bought Take Out The Boat Jumpsuit, Blackabout 13 minutes ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://chicsoul.com/collections/new-arrivals/products/beauty-in-simplicity-top-navy?variant=20864560922713
"Crystal Li in Flushing, United States purchased a",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://cokodive.com/collections/kpop/products/young-wild-mang-sweater
🔥 2 people are looking right now,Product detail,Social Proof,Activity Notification,Product Page,No,https://countycomm.com/collections/watch-bands/products/maratac-s-series-zulu-bands
3 people bought this item last week.,Product detail,Social Proof,Activity Notification,Product Page,No,https://czechbeadsexclusive.com/en/shiny-yellow-gold-czech-glass-cube-seed-beads-6-0-preciosa-seed-beads-size-6-pearls-rocaille-beads-czech-glass-spacer-beads-3mm-x-3mm-20g/
31 people seeing this product right now,Popup in lower left corner,Social Proof,Activity Notification,Product Page,No,https://dekanta.com/store/nikka-whisky-single-malt-yoichi-2019-pre-order/
"Ken in Oakland, United States purchased a Dreamville Hoodie a month ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://desirewear.co/products/active-leggings
19 people have viewed this item,Right side,Social Proof,Activity Notification,Product Page,No,https://desirewear.co/products/active-leggings
Rebecca in Buffalo just bought Sateen Twill Swatchabout 1 hour ago,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://dessy.com/accessories/sateen-twill-swatch/#.XJDp3xNKiL8
"Someone from Menlo Park, California just purchased Electric Skateboard Motor 6374 190KV.",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://diyelectricskateboard.com/products/electric-skateboard-motor-6374-190kv?utm_source=show-recent-order&utm_medium=notification
2 people are looking at this listing now,Product detail,Social Proof,Activity Notification,Product Page,No,https://droom.in/product/honda-cb-hornet-160r-abs-dlx-2019-5c646097c8738354888b7193
4 sold in last 5 hours,Above product detail. Hardcoded in JS.,Social Proof,Activity Notification,Product Page,Yes,https://electricfireplacesdepot.com/collections/electric-fireboxe-inserts/products/dimplex-revillusion-36-inch-built-in-electric-fireplace-firebox-heater-rbf36
72 Viewing This Product,Below product detail. Hardcoded in JS.,Social Proof,Activity Notification,Product Page,Yes,https://electricfireplacesdepot.com/collections/electric-fireboxe-inserts/products/dimplex-revillusion-36-inch-built-in-electric-fireplace-firebox-heater-rbf36
"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace",Periodic popup. Hardcoded in JS.,Social Proof,Activity Notification,Product Page,Yes,https://electricfireplacesdepot.com/collections/electric-fireboxe-inserts/products/dimplex-revillusion-36-inch-built-in-electric-fireplace-firebox-heater-rbf36
Favored By: 400 people!,Product detail,Social Proof,Activity Notification,Product Page,No,https://fabrics-store.com/fabrics/linen-fabric-IL026-gauze-stripes-sheer/
"Annie in Cheras, Malaysia just bought: An Abundance of Flowers - Van-Go Paint-By-Number Kit",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://faradayscienceshop.com/collections/frontpage/products/air-swimmer-the-remote-controlled-fish-blimp
"Kamal in Lathrop, United States purchased a Father Sons Super Slim Stretch Feather Print Long Sleeve - FS429 4 hours ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://fathersonsclothing.com/collections/shorts/products/father-sons-slim-fit-aqua-chino-shorts-fsh318-pre-orders-dispatched-on-15th-march-2019
"Another babe in Alexandria, United States just ordered Flat Tummy Tea",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://flattummyco.com/products/flat-tummy-essentials-bundle?variant=15390293786712
Someone purchased a FORWARD REVIVE WOMEN'S RED WHITE HUSTLE T-SHIRT 32 minutes ago,Periodic popup. Hardcoded in JS.,Social Proof,Activity Notification,Product Page,Yes,https://forwardrevive.com/collections/bags/products/forwardrevive-spade-drawstring-bag
Real time 30 Visitor right now,Product detail. Randomized.,Social Proof,Activity Notification,Product Page,Yes,https://forwardrevive.com/collections/bags/products/forwardrevive-spade-drawstring-bag
9 sold in last 4 hours,Product detail. Randomized.,Social Proof,Activity Notification,Product Page,Yes,https://forwardrevive.com/collections/bags/products/forwardrevive-spade-drawstring-bag
"Someone from Cape Town, Western Cape, South Africa just started buying Packable Travel Duffel Bag! 5 minutes ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://foxstark.com/collections/hotbabyitems/products/viking-baby-hat
61 people have already bought that product today with 50% discount,Product detail,Social Proof,Activity Notification,Product Page,Yes,https://foxstark.com/collections/hotbabyitems/products/viking-baby-hat
"Sayeeganesh in Chennai, India just bought Dhoni the Finisher T-Shirt an hour ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://fullyfilmy.in/collections/trending-now/products/dhoni-7-tribute-t-shirt
"1,446 people have viewed this item",Right side popup,Social Proof,Activity Notification,Product Page,No,https://furnod.com/collections/featured-products/products/janet-couture-bleached-knots-18-inches-glueless-full-lace
218 people have added this item to cart,Right side popup,Social Proof,Activity Notification,Product Page,No,https://furnod.com/collections/featured-products/products/janet-couture-bleached-knots-18-inches-glueless-full-lace
11 people have purchased this item,Right side popup,Social Proof,Activity Notification,Product Page,No,https://furnod.com/collections/featured-products/products/janet-couture-bleached-knots-18-inches-glueless-full-lace
Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://fuzz.online/products/fg-grater
38 people are viewing this,Product detail,Social Proof,Activity Notification,Product Page,No,https://fuzz.online/products/fg-grater
"Someone from Rochedale, Queensland, Australia started buying this!",Product detail,Social Proof,Activity Notification,Product Page,No,https://fuzz.online/products/fg-grater
39 recently purchased it,Product detail,Social Proof,Activity Notification,Product Page,No,https://fuzz.online/products/fg-grater
85 have it in their cart,Product detail,Social Proof,Activity Notification,Product Page,No,https://fuzz.online/products/fg-grater
"Leah Rich in Louisville, United States purchased a",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://fwreshinc.com/products/shade-shifter-multichrome-nail-polish-0-5-oz-full-sized-bottle
"Someone in Madrid, Spain just bought",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://ghibli.store/collections/ghibli/products/spirited-away-kaonashi-music-box
33 sold in last 12 hours.,Above product detail. Randomized.,Social Proof,Activity Notification,Product Page,Yes,https://gopowear.com/collections/wallet-case/products/fashion-beautiful-dragon-wallet-case-sctk240401
78 Persons looking for this product,Above product detail. Randomized.,Social Proof,Activity Notification,Product Page,Yes,https://gopowear.com/collections/wallet-case/products/fashion-beautiful-dragon-wallet-case-sctk240401
"Jim in Houston, USA purchased Pure Ratios: Hemp Oil CBD Patch (40mg CBD)",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://healthyhempoil.com/shop/pure-ratios/cbd-patch/?utm_source=fomo&utm_medium=notification
"Tyler in Norwalk, United States purchased a",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://hygoshop.com/products/anti-snoring-device
"Someone in Ampang, Malaysia just bought",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://ikigaisoul.com/products/ahi-hoodie
64 users bought this product Touch: The Set - Touch XL & TouchUp Makeup Mirror Bundle,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://impressionsvanity.com/collections/best-selling-products/products/slaystation-pro-2-0-glow-pro-vanity-bundle-with-drawer-units?variant=13576209530973
"Sudha rana from Jaipur bought this product, 23 Mins ago.",Left of page,Social Proof,Activity Notification,Product Page,No,https://indiarush.com/rayon-peach-stitched-embroidred-long-kurti-pc14/
404 Orders,Product detail,Social Proof,Activity Notification,Product Page,No,https://indiarush.com/rayon-peach-stitched-embroidred-long-kurti-pc14/
Trending Style! Sold 4 times today,Product detail,Social Proof,Activity Notification,Product Page,No,https://indiarush.com/rayon-peach-stitched-embroidred-long-kurti-pc14/
"Someone in San diego, United States just bought Gemfield Watch 15 days ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://instwatch.com/collections/manhattan-signature/products/tyor-carbon-2
"Alyssa in San Antonio, United States purchased a iTunes Japan Gift Card 10000 JPY about 35 minutes ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://japancodesupply.com/products/itunes-japan-gift-card-10000-jpy
"Someone in Paris, France just purchased a Kanpeki Knife Set",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://kamikoto.com/collections/store/products/kensei-knife-set
"3,081 people have viewed this item",Popup right side,Social Proof,Activity Notification,Product Page,No,https://kbdfans.cn/collections/keyboard-part/products/kbdfans-72-switches-tester-all-in-one
166 people have added this item to cart,Popup right side,Social Proof,Activity Notification,Product Page,No,https://kbdfans.cn/collections/keyboard-part/products/kbdfans-72-switches-tester-all-in-one
111 people have purchased this item,Popup right side,Social Proof,Activity Notification,Product Page,No,https://kbdfans.cn/collections/keyboard-part/products/kbdfans-72-switches-tester-all-in-one
"James in Cashion, Oklahoma just bought Glossy Black Brick Geode / Amber Gradient Fast Lanes",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://knockaround.com/products/black-moonshine-premiums
7 people have it in their cart,Product detail,Social Proof,Activity Notification,Product Page,No,https://knockaround.com/products/black-moonshine-premiums
1 person is viewing this,Product detail,Social Proof,Activity Notification,Product Page,No,https://knockaround.com/products/black-moonshine-premiums
