content,Classification,prediction
Your price for this item is $ 89,1,0
Your price for this item is $ 79,1,0
Your price for this item is $ 55,1,0
Your price for this item is $ 49,1,0
Your price for this item is $ 21,1,0
Your price for this item is $ 11,1,0
finishes in 06:35:25,0,1
Your price for this item is $,1,0
Your cart is currently empty.,1,0
You've disabled JavaScript in your web browser.,1,0
You've disabled cookies in your web browser.,1,0
You'll now receive emails from Gap. Check your inbox for your exclusive welcome offer. ​,1,0
Where every day is a one-day sale.,1,0
We offer upgraded shipping options at checkout.,1,0
We Believe in,1,0
Today's Deals,1,0
This piece looks amazing. It was delivered in perfect condition. If your willing to spend this much money it is defiantly worth it.,1,0
"The double tree perc I bought is now my life partner. It is perfect, wouldn't change a thing. Saving this website for any future needs ?",1,0
Tall Limited Gothic Applique Tracksuit,1,0
SPEND JUST $99,1,0
Some people switch from Verizon to T-Mobile.?But one of the most rewarding switches is going from dry herb to concentrates.,1,0
Some functionality will be limited.,1,0
SHEIN Slogan Graphic Drop Shoulder High Low Hem Dress,1,0
SHEIN Lace Detail High Low Puff Sleeve Dress Without Belt,1,0
Ready in one hour,1,0
Questions about this item? Ask here.,1,0
Price: Low to High,1,0
price: low to high,1,0
Price: High to Low,1,0
price: high to low,1,0
"Price, low to high",1,0
"Price, high to low",1,0
Price Low to High,1,0
Price High to Low,1,0
Price (Low to High),1,0
Price (High to Low),1,0
Popup content ends,1,0
popular times,1,0
Plus Limited Edition Heart Back Print Sweat,1,0
Oversized Limited Graphic Overdyed T-shirt,1,0
Out of Stock,1,0
OH HEY!  Get yourself 10% off the first order!,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
Offer applies to first-time registrants,1,0
Offer applies at,1,0
New Users Only,1,0
New in Sale,1,0
More                                exclusive offers Only in EUR,1,0
Limited Edition ($19.99):,1,0
Limited Edition,1,0
Last Sizes,1,0
items in row,1,0
item in row,1,0
Invest in High Tide,1,0
Include Out of Stock,1,0
"In stock on November 13, 2021.",1,0
Images only,1,0
"If you break this product, your next one is 50% off!",1,0
Glasscity Limited Edition Cobalt Blue Beaker Ice Bong,1,0
"Get your #hustlergangstyle tips! Hot deals, exclusive offers and fashion inspo are almost in your pocket 😉",1,0
Get This Deal!,1,0
"From celebrating a bride’s new last name to welcoming a little one into the family, customizable monogrammed gifts are the perfect way to show your loved ones how much you care!",1,0
For an Exclusive 10% Off,1,0
Flash Sale,1,0
EXTRA 15% OFF EVERYTHING!*,1,0
Extra 10% off,1,0
Enter your email and we’ll send you a coupon code plus notify you any time we have sales and promotions in the future!,1,0
Double Pocket Seam Detail Fake Button High Low Sweater,1,0
"Don't miss out on new products, sales, discounts & deals.",1,0
Disclaimer: Offer valid for new customers only. Cannot be combined with any other offer.,1,0
Butterfly Sleeve Ruffle High Low Hem Dress,1,0
BACK IN STOCK,1,0
Back In Stock,1,0
As you were browsing something about your browser made us think you were a bot. There are a few reasons this might happen:,1,0
"After viewing product detail pages, look here to find an easy way to navigate back to pages you are interested in.",1,0
Active New In,1,0
"A third-party browser plugin, such as Ghostery or NoScript, is preventing JavaScript from running. Additional information is available in this",1,0
57 items,1,0
53 Items,1,0
50% OFF Everything*,1,0
50% OFF EVERYTHING*,1,0
50% OFF EVERYTHING!*,1,0
50% OFF EVERYTHING!,1,0
"5 Days,",1,0
30% OFF SUITS & SHOES!,1,0
30% Off Suits,1,0
30% Off Shoes,1,0
15 Seconds,1,0
10% off,1,0
10% OFF,1,0
08/11/2021 03:00 ~ 15/11/2021 15:59,1,0
0 SOLD,0,1
"*Extra 15% discount is for new subscribers only. By subscribing, you agree to receive marketing communications from Burton by email. You can unsubscribe at any point.",1,0
(Others charge $35-$59 on orders of less than 12 pieces),1,0
(58% OFF),1,0
(57% OFF),1,0
(56% OFF),1,0
(30% OFF),1,0
"""It��s for both dabs and flowers and I can��t call it 100% cough free but I definitely don��t feel like I��m gonna have any more coughing fits like in the past this definitely calms the cough! """,1,0
"""I've never tried one before, so my husband and my son told me that it's easy and bought me this. But I love it:sparkling_heart: Thank you:+1:""",1,0
