content,Classification,prediction
Your price for this item is $ 89,1,0
Your price for this item is $ 79,1,0
Your price for this item is $ 55,1,0
Your price for this item is $ 49,1,0
Your price for this item is $ 21,1,0
Your price for this item is $ 11,1,0
John watched this in the last 3 hours,0,1
John watched this product in the last 3 hours,0,1
John watched this keyboard in the last 3 hours,0,1
John watched this in the last five hours,0,1
John watched this product in the last five hours,0,1
John watched this keyboard in the last five hours,0,1
Jordan gives a like 2 mins ago,0,1
The product is selling fast ,0,1
The product is in high demand ,0,1
finishes in 06:35:25,0,1
 finishes in ten hours,0,1
Your price for this item is $,1,0
Where every day is a one-day sale.,1,0
This piece looks amazing. It was delivered in perfect condition. If your willing to spend this much money it is defiantly worth it.,1,0
"The double tree perc I bought is now my life partner. It is perfect, wouldn't change a thing. Saving this website for any future needs ?",1,0
Tall Limited Gothic Applique Tracksuit,1,0
Some functionality will be limited.,1,0
sold out,1,0
SHEIN Slogan Graphic Drop Shoulder High Low Hem Dress,1,0
SHEIN Lace Detail High Low Puff Sleeve Dress Without Belt,1,0
See why this is America’s favorite hat,1,0
Say goodbye to multiple devices with this three-in-one vaporizer.,1,0
Recently Viewed,1,0
Questions about this item? Ask here.,1,0
Popup content ends,1,0
popular times,1,0
Plus Limited Edition Heart Back Print Sweat,1,0
Oversized Limited Graphic Overdyed T-shirt,1,0
Out of Stock,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
Offer applies to first-time registrants,1,0
Offer applies at,1,0
New Users Only,1,0
New in Sale,1,0
Most Popular,1,0
More                                exclusive offers Only in EUR,1,0
Limited Edition ($19.99):,1,0
Limited Edition,1,0
items in row,1,0
item in row,1,0
Invest in High Tide,1,0
Include Out of Stock,1,0
"In stock on November 13, 2021.",1,0
Images only,1,0
"If you break this product, your next one is 50% off!",1,0
Glasscity Limited Edition Cobalt Blue Beaker Ice Bong,1,0
"Get your #hustlergangstyle tips! Hot deals, exclusive offers and fashion inspo are almost in your pocket 😉",1,0
Get This Deal!,1,0
Double Pocket Seam Detail Fake Button High Low Sweater,1,0
Disclaimer: Offer valid for new customers only. Cannot be combined with any other offer.,1,0
Butterfly Sleeve Ruffle High Low Hem Dress,1,0
BACK IN STOCK,1,0
Back In Stock,1,0
As you were browsing something about your browser made us think you were a bot. There are a few reasons this might happen:,1,0
"After viewing product detail pages, look here to find an easy way to navigate back to pages you are interested in.",1,0
"A third-party browser plugin, such as Ghostery or NoScript, is preventing JavaScript from running. Additional information is available in this",1,0
08/11/2021 03:00 ~ 15/11/2021 15:59,1,0
"*Extra 15% discount is for new subscribers only. By subscribing, you agree to receive marketing communications from Burton by email. You can unsubscribe at any point.",1,0
(Others charge $35-$59 on orders of less than 12 pieces),1,0
"""I've never tried one before, so my husband and my son told me that it's easy and bought me this. But I love it:sparkling_heart: Thank you:+1:""",1,0
