Pattern String,classification
FREE SHIPPING ON ORDERS OVER $100!,1
SOME EXCLUSIONS APPLY - LEARN MORE,1
HAVE A QUESTION? - CONTACT US,1
WELCOME TO 034MOTORSPORT!,1
SHOP AUDISHOP VOLKSWAGENPERFORMANCE SOFTWARE034 APPARELLOCAL SERVICENEWSRESOURCES,1
SEARCH,1
HOME,1
/,1
"ADJUSTABLE SOLID REAR SWAY BAR, 8J/8P AUDI TT/TTS/TTRS & A3/S3/RS3, MKV/MKVI VOLKSWAGEN R32 & GOLF R",1
MORE VIEWS,1
$268.00,1
Starting at $25/mo with Affirm. Learn more,1
ORDER ONLINE!,1
4.6 star rating,1
8 Reviews,1
1 Questions \ 1 Answers,1
SKU: 034-402-1002,1
Manufacturer: 034Motorsport,1
"034Motorsport is proud to offer the ultimate rear sway bar upgrade for the Audi 8J/8P TT/TTS/TTRS & Audi A3/S3/RS3 and MkV/MkVI Volkswagen R32 & Golf R! The 034Motorsport Adjustable Solid Rear Sway Bar is made from high-quality spring steel for maximum rigidity, and is designed to combat understeer while reducing body roll under hard cornering. This product was tested thoroughly on the street and track on the 034Motorsport Audi TT RS 2.5 TFSI before release. The 034Motorsport Adjustable Solid Rear Sway Bar substantially reduces understeer and body roll without compromising comfort on the street.",1
Please Note: We highly recommend using this upgrade in conjunction with Spherical Rear Sway Bar End Links for maximum performance.,1
Qty:,1
ADD TO CART,1
Add to Wishlist,1
Share Facebook,1
Share on Twitter,1
RELATED PRODUCTS,1
Check items to add to the cart or select all,1
"SWAY BAR END LINKS, MOTORSPORT, REAR, ADJUSTABLE, 8P & 8J AUDI TT/A3, MKV & MKVI VOLKSWAGEN JETTA GTI R32 RABBIT",1
$184.00,1
"REBUILD KIT, ADJUSTABLE SOLID REAR SWAY BAR, 22.2MM",1
$22.00,1
ITEM DETAILS,1
INSTALL GUIDE,1
MORE INFO,1
WE ALSO RECOMMEND,1
REVIEWS,1
PROP 65,1
"034Motorsport is proud to offer the ultimate rear sway bar upgrade for the Audi 8J/8P TT/TTS/TTRS & Audi A3/S3/RS3 and MkV/MkVI Volkswagen R32 & Golf R! The 034Motorsport Adjustable Solid Rear Sway Bar is made from high-quality spring steel for maximum rigidity, and is designed to combat understeer while reducing body roll under hard cornering.",1
This product was tested thoroughly on the street and track on both the 034Motorsport Audi TT RS 2.5 TFSI and Nate@034's Audi A3 before release. The 034Motorsport Adjustable Solid Rear Sway Bar substantially reduces understeer and body roll on the Audi 8J/8P and MkV/MkVI Volkswagen R32 & Golf R without compromising comfort on the street.,1
"In addition, the 034Motorsport Rear Sway Bar is engineered to be used effectively with the stock front sway bar. No upgrade in the front is needed or required. The addition of a stiffer front bar introduces even more push, requiring an even bigger bar in the back.  With the stock front sway bar and upgraded 034Motorsport Solid Rear Sway Bar, body roll is virtually eliminated while turn in and off throttle oversteer are greatly improved.",1
"The sway bar rate is adjustable via the adjustment holes. The two holes closest to the MOI of the bar are the ""stiff"" (423% stiffer than stock) setting, and the two holes farther out are the ""soft"" (362% stiffer than stock) setting.",1
Features:,1
Adjustable - 362% or 423% Increased Sway Bar Rate vs. Stock TT RS Rear Sway Bar,1
22.25mm Diameter,1
Solid Spring Steel Construction,1
2-Hole Adjustable,1
Easy to Lubricate Sway Bar Bushings - Zerk Fittings Included,1
Designed to be used in conjunction with the stock front sway bar.,1
What's Included:,1
034Motorsport Adjustable Solid Rear Sway Bar,1
Graphite-Impregnated Urethane Bushings,1
Billet Aluminum Sway Bar Brackets with Lubrication Ports,1
Sway Bar Retaining Clips,1
Fitment:,1
2010 - 2013 Audi TT RS 2.5 TFSI (8J),1
2011 - 2013 Audi RS3 2.5 TFSI (8P),1
2006 - 2013 Audi TT/TTS Quattro (8J),1
Except 3.2L VR6 Models,1
2006 - 2013 Audi A3/S3 Quattro (8P),1
2008 Volkswagen R32 (MkV),1
2012 Volkswagen Golf R (MkVI),1
Installation Instructions:,1
Click Here!,1
Please Note:,1
This fits 4-Motion AWD & Quattro AWD vehicles only.,1
COMPANY,1
ABOUT US,1
CONTACT US,1
SERVICE DEPARTMENT,1
TERMS & CONDITIONS,1
PRIVACY POLICY,1
CAREERS AT 034,1
QUICK LINKS,1
SITE MAP,1
SEARCH TERMS,1
ADVANCED SEARCH,1
REQUEST RMA,1
DEALERS,1
ACCOUNT,1
MY ACCOUNT,1
ORDERS AND RETURNS,1
CONNECT WITH US,1
FACEBOOK,1
TWITTER,1
YOUTUBE,1
RSS,1
© 2005 - Present 034Motorsport. All Rights Reserved. 034Motorsport is not affiliated with any automobile manufacturers. Manufacturer names and/or part numbers are used solely for identification purposes.,1
PRODUCT CATEGORIES,1
Christmas,1
Tubes,1
LED Bulbs,1
Fixtures,1
Light Bulbs,1
Ballasts/Drivers,1
Electrical,1
Rope/Tape Light,1
Exit/Emergency,1
Smart Home,1
Horticulture,1
Landscape Lighting,1
Batteries,1
Plastics & Glass,1
Specialty Items,1
For Expert Help Call 1-800-624-4488,1
Search,1
Welcome to 1000Bulbs.com,1
( Login or Register ) Customer Service,1
Cart 0,1
 Trending Searches,1
175W MH Equal LED Wall Pack Only $66.49,1
Standard Shaped LEDs only $1.05/ea,1
LED Parking Lot Lights - Starting at $107.24,1
