content,Classification,prediction
Your price for this item is $ 89,1,0
Your price for this item is $ 79,1,0
Your price for this item is $ 55,1,0
Your price for this item is $ 49,1,0
Your price for this item is $ 21,1,0
Your price for this item is $ 11,1,0
36 watchers are on this page now,0,1
Eleven viewers are on this page,0,1
Your recently viewed items and featured recommendations,1,0
Your price for this item is $,1,0
your logo at checkout,1,0
your entire order!,1,0
Your cart is currently empty.,1,0
Your bag is empty. Let’s do something about that.,1,0
You've disabled JavaScript in your web browser.,1,0
You'll now receive emails from Gap. Check your inbox for your exclusive welcome offer. ​,1,0
Where every day is a one-day sale.,1,0
We offer upgraded shipping options at checkout.,1,0
"We detected that you may have open carts on other devices, did you want to merge items from those?",1,0
We Believe in,1,0
Was: $55.19,1,0
Was: $52.89,1,0
UP TO 80% OFF,1,0
UP TO 70% OFF SALE!,1,0
Up to 30% off Curated Styles,1,0
United States,1,0
to get 5% off your order!,1,0
This piece looks amazing. It was delivered in perfect condition. If your willing to spend this much money it is defiantly worth it.,1,0
There really isn��t anything I can say that hasn��t already been said. If somebody said it was 300.00 I would say it��s a good buy.   At 149.00 it��s almost like stealing,1,0
Tall Limited Gothic Applique Tracksuit,1,0
Step 2: Enter Quantity for Each Size,1,0
SPEND JUST $99,1,0
Some people switch from Verizon to T-Mobile.?But one of the most rewarding switches is going from dry herb to concentrates.,1,0
Some functionality will be limited.,1,0
SHEIN Slogan Graphic Drop Shoulder High Low Hem Dress,1,0
SHEIN Lace Detail High Low Puff Sleeve Dress Without Belt,1,0
SHEIN Drop Shoulder Pearls Beaded 2 In 1 Pullover,1,0
Say goodbye to multiple devices with this three-in-one vaporizer.,1,0
SALE UP TO 70% OFF!,1,0
Sale Up To 70% Off,1,0
SALE & OFFERS,1,0
Recently Viewed,1,0
Ready in one hour,1,0
Price: Low to High,1,0
price: low to high,1,0
Price: High to Low,1,0
price: high to low,1,0
"Price, low to high",1,0
"Price, high to low",1,0
Price Low to High,1,0
Price High to Low,1,0
Price (Low to High),1,0
Price (High to Low),1,0
popular times,1,0
Oversized Limited Graphic Overdyed T-shirt,1,0
Out of Stock,1,0
Order Now,1,0
OH HEY!  Get yourself 10% off the first order!,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
Offer applies to first-time registrants,1,0
Offer applies at,1,0
New Users Only,1,0
New in Sale,1,0
New In Coats & Jackets,1,0
"Never miss a deal, sign up now. 💌",1,0
More                                exclusive offers Only in EUR,1,0
Mark from California,1,0
Manually enter in a birthdate instead,1,0
Limited Edition ($19.99):,1,0
Limited Edition,1,0
Ken from Missouri,1,0
Keith from California,1,0
items in row,1,0
item in row,1,0
Invest in High Tide,1,0
Include Out of Stock,1,0
"In stock on November 13, 2021.",1,0
Images only,1,0
"If you break this product, your next one is 50% off!",1,0
HOT DEAL🔥,1,0
Glasscity Limited Edition Cobalt Blue Beaker Ice Bong,1,0
"Get your #hustlergangstyle tips! Hot deals, exclusive offers and fashion inspo are almost in your pocket 😉",1,0
Get This Deal!,1,0
Get 5% Off Now by Subscribing,1,0
"For Order Over 75,00€",1,0
"For Order Over 45,00€",1,0
For an Exclusive 10% Off,1,0
Flash Sale,1,0
First test excellent. Will no doubt be running more tests in the not too distant future.,1,0
Final Clearance Sale!,1,0
EXTRA 15% OFF EVERYTHING!*,1,0
Extra 10% off,1,0
Enter your email and we’ll send you a coupon code plus notify you any time we have sales and promotions in the future!,1,0
"Easily worth $300, this was an incredible buy.",1,0
Double Pocket Seam Detail Fake Button High Low Sweater,1,0
Don’t wait until,1,0
"Discover some truly seasonal steals in the Burton sale. You'll get the look you're after for less, but be quick, most stuff won't be sticking around for long so head to the checkout to avoid disappoin",1,0
DISCOUNT AUTOMATICALLY APPLIED AT CHECKOUT,1,0
Discount & Promo Codes,1,0
Disclaimer: Offer valid for new customers only. Cannot be combined with any other offer.,1,0
Collin  from Pennsylvania,1,0
Buy Now for $99.95,1,0
Buy Now for $70.00,1,0
Buy 2 Get 50% Off,1,0
Butterfly Sleeve Ruffle High Low Hem Dress,1,0
BACK IN STOCK,1,0
Back In Stock,1,0
As you were browsing something about your browser made us think you were a bot. There are a few reasons this might happen:,1,0
Active New In,1,0
"A third-party browser plugin, such as Ghostery or NoScript, is preventing JavaScript from running. Additional information is available in this",1,0
70% OFF!,1,0
7% voucher applied at checkout,1,0
57 items,1,0
53 Items,1,0
50% Off Logo Setup,1,0
50% OFF Everything*,1,0
50% OFF EVERYTHING*,1,0
50% OFF EVERYTHING!*,1,0
50% OFF EVERYTHING!,1,0
50% OFF,1,0
30% Off Suits,1,0
"30 Minutes,",1,0
20% OFF,1,0
15% off your purchase.,1,0
15% off,1,0
15% OFF,1,0
15 Seconds,1,0
10% voucher applied at checkout,1,0
10% off,1,0
10% OFF,1,0
08/11/2021 03:00 ~ 15/11/2021 15:59,1,0
0 SOLD,0,1
$20 OFF DUCK BOOTS,1,0
"*Extra 15% discount is for new subscribers only. By subscribing, you agree to receive marketing communications from Burton by email. You can unsubscribe at any point.",1,0
(Others charge $35-$59 on orders of less than 12 pieces),1,0
(75% OFF),1,0
(70% OFF),1,0
(69% OFF),1,0
(68% OFF),1,0
(67% OFF),1,0
(65% OFF),1,0
(62% OFF),1,0
(58% OFF),1,0
(57% OFF),1,0
(56% OFF),1,0
(50% OFF),1,0
(43% OFF),1,0
(40% OFF),1,0
(33% OFF),1,0
(30% OFF),1,0
-70% off,1,0
-50% off,1,0
