content,Classification,prediction
John viewed this 22’’ television just now,0,1
Paul viewed this 22’’ television just now,0,1
John watched this 22’’ television just now,0,1
Paul watched this 22’’ television just now,0,1
Eleven viewers are on this page,0,1
We Believe in,1,0
Turnaround Time,1,0
"The double tree perc I bought is now my life partner. It is perfect, wouldn't change a thing. Saving this website for any future needs ?",1,0
Some people switch from Verizon to T-Mobile.?But one of the most rewarding switches is going from dry herb to concentrates.,1,0
Some functionality will be limited.,1,0
sold out,1,0
Popup content ends,1,0
Popular Vapes,1,0
popular times,1,0
Popular Bongs,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
Offer applies to first-time registrants,1,0
Most Popular,1,0
Manually enter in a birthdate instead,1,0
Low in stock,0,1
Limited quantities. See product detail pages for availability.,0,1
Ken from Missouri,1,0
Josh from Missouri,1,0
JESSICA from Ohio,1,0
items in row,1,0
item in row,1,0
Invest in High Tide,1,0
Images only,1,0
Get This Deal!,1,0
Fast Shipping,1,0
Collin  from Pennsylvania,1,0
Blush Babe,1,0
Approve Order,1,0
57 items,1,0
"5 Days,",1,0
15 Seconds,1,0
"*Extra 15% discount is for new subscribers only. By subscribing, you agree to receive marketing communications from Burton by email. You can unsubscribe at any point.",1,0
(68% OFF),1,0
(58% OFF),1,0
(57% OFF),1,0
"""I've never tried one before, so my husband and my son told me that it's easy and bought me this. But I love it:sparkling_heart: Thank you:+1:""",1,0
