content,Classification,prediction
Paul watched this keyboard just now,0,1
36 watchers are on this page now,0,1
Eleven viewers are on this page,0,1
 finishes in ten hours,0,1
Item finishes in ten hours,0,1
This item finishes in ten hours,0,1
YOUR FIRST                                ORDER,1,0
your entire order!,1,0
Turnaround Time,1,0
Tall Limited Gothic Applique Tracksuit,1,0
SHEIN Lace Detail High Low Puff Sleeve Dress Without Belt,1,0
SEMI ANNUAL SALE,1,0
Sale Swimwear,1,0
Sale Playsuits & Jumpsuits,1,0
Sale Petite,1,0
Sale Loungewear,1,0
Sale Knitwear,1,0
Sale Dresses,1,0
Sale Denim,1,0
Sale Bottoms,1,0
SALE & OFFERS,1,0
Receive and approve logo proof via email within 2-3 business days.,1,0
Popup content ends,1,0
popular times,1,0
Popular Bongs,1,0
petites sale,1,0
Over 18 inches,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
Offer applies to first-time registrants,1,0
Offer applies at,1,0
New Users Only,1,0
Most Popular,1,0
Manually enter in a birthdate instead,1,0
Looks like you are visiting us from,1,0
Images only,1,0
Guaranteed Returns,1,0
Group Order Form,1,0
Get This Deal!,1,0
Free extended christmas returns,1,0
Free Embroidery,1,0
"For Order Over 45,00€",1,0
Flash Sale,1,0
Butterfly Sleeve Ruffle High Low Hem Dress,1,0
Approve Order,1,0
Added to Likes!,1,0
57 items,1,0
53 Items,1,0
"5 Days,",1,0
1st order,1,0
15 Seconds,1,0
0 SOLD,0,1
(57% OFF),1,0
(56% OFF),1,0
(43% OFF),1,0
