content,Classification,prediction
Your price for this item is $ 89,1,0
Your price for this item is $ 79,1,0
Your price for this item is $ 55,1,0
Your price for this item is $ 49,1,0
Your price for this item is $ 21,1,0
Your price for this item is $ 11,1,0
36 watchers are on this page now,0,1
Your review was sent successfully and is now waiting for our staff to publish it.,1,0
Your review has already been submitted.,1,0
Your price for this item is $,1,0
Your Guaranteed Lowest Pricing,1,0
YOUR FIRST                                ORDER,1,0
your entire order!,1,0
Your Coupon Is FREELOGOSHIP,1,0
Your cart is currently empty.,1,0
Your bag is empty. Let’s do something about that.,1,0
You've disabled JavaScript in your web browser.,1,0
You've disabled cookies in your web browser.,1,0
You're a power user moving through this website with super-human speed.,1,0
You'll now receive emails from Gap. Check your inbox for your exclusive welcome offer. ​,1,0
You are using an unsupported browser or your browser might be in the Compatibility View mode,1,0
Winner of the High Times Cup Best Glass Award,1,0
"Whether you’re making a splash in your new embroidered duck boots or sinking your toes in the sand in a pair of chic monogrammed sandals, you never have to leave your house without sporting your initials again!",1,0
Where every day is a one-day sale.,1,0
What are you looking for?,1,0
We'll start sewing and ship your order in 12-18 business days,1,0
We value your input. Share your review so everyone else can enjoy it too.,1,0
we have afterpay,1,0
"We detected that you may have open carts on other devices, did you want to merge items from those?",1,0
We Believe in,1,0
UP TO 80% OFF,1,0
UP TO 70% OFF SALE!,1,0
Up to 30% off select styles:,1,0
Up to 30% off Curated Styles,1,0
Up to £15,1,0
UK16/EU 44,1,0
UK 5/EU 38,1,0
UK 5.5/EU 38.5,1,0
UK 18/EU 46,1,0
UK 16/EU 44,1,0
UK 12/EU 40,1,0
UK 10/EU 38,1,0
Turnaround Time,1,0
Try it before you buy it,1,0
Trade-In Program,1,0
Top Up Your Account in Store,1,0
to get 5% off your order!,1,0
tment. Browse for essentials in our men's underwear sale as well as every day staples in our men's trousers sale and range of sale t-shirts.,1,0
Tie Dye High Stretch Sports Leggings,1,0
This piece looks amazing. It was delivered in perfect condition. If your willing to spend this much money it is defiantly worth it.,1,0
"These cookies are necessary for the website to function and cannot be switched off in our systems. They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms.",1,0
There really isn��t anything I can say that hasn��t already been said. If somebody said it was 300.00 I would say it��s a good buy.   At 149.00 it��s almost like stealing,1,0
"The double tree perc I bought is now my life partner. It is perfect, wouldn't change a thing. Saving this website for any future needs ?",1,0
Thank you for your question.,1,0
Thank you for your answer.,1,0
Thank you for submitting your review.,1,0
Thank you for posting a review!,1,0
Tall New In,1,0
Tall Limited Gothic Applique Tracksuit,1,0
Super Sale,1,0
Summer Sale,1,0
Some people switch from Verizon to T-Mobile.?But one of the most rewarding switches is going from dry herb to concentrates.,1,0
Some functionality will be limited.,1,0
"Small re-orders, let's do it",1,0
Sign up to receive emails and get 15% off* your next regular-priced purchase.,1,0
Sign in to receive the vouchers below,1,0
Shop New In,1,0
SHOP NEW IN,1,0
shoes & accessories sale,1,0
SHEIN X Les Do Makeup High Waist Ripped Straight Leg Jeans,1,0
SHEIN Tie Dye One Shoulder Drawstring Hem Bodycon Dress,1,0
SHEIN Slogan Graphic Drop Shoulder High Low Hem Dress,1,0
SHEIN Maternity Slogan Graphic High Neck Tee,1,0
SHEIN Lace Detail High Low Puff Sleeve Dress Without Belt,1,0
SHEIN High Waist Wide Leg Pants,1,0
SHEIN High Waist Plicated Wide Leg Pants,1,0
SHEIN High Neck Marble Print Bodysuit,1,0
SHEIN Drop Shoulder Pearls Beaded 2 In 1 Pullover,1,0
SEMI ANNUAL SALE,1,0
See why this is America’s favorite hat,1,0
Seamless High Stretch Sports Tee,1,0
Seamless Color Block High Waist Sports Leggings,1,0
Say goodbye to multiple devices with this three-in-one vaporizer.,1,0
SALE UP TO 70% OFF!,1,0
Sale Up To 70% Off,1,0
Sale Tops,1,0
Sale Swimwear,1,0
Sale Shoes,1,0
Sale price,1,0
Sale Playsuits & Jumpsuits,1,0
Sale Petite,1,0
Sale Loungewear,1,0
Sale Lingerie & Nightwear,1,0
Sale Knitwear,1,0
Sale Dresses,1,0
Sale Denim,1,0
Sale Coats & Jackets,1,0
Sale Clothes,1,0
Sale Bottoms,1,0
Sale Accessories,1,0
SALE & OFFERS,1,0
Richardson Hat Deal,1,0
Recommendations for You,1,0
Receive and approve logo proof via email within 2-3 business days.,1,0
real reviews from real customers like you!,1,0
Ready in one hour,1,0
Questions about this item? Ask here.,1,0
Price: Low to High,1,0
