content,Classification,prediction
Your price for this item is $ 89,1,0
Your price for this item is $ 79,1,0
Your price for this item is $ 55,1,0
Your price for this item is $ 49,1,0
Your price for this item is $ 21,1,0
Your price for this item is $ 11,1,0
low stock,0,1
bought a,0,1
ENDS WEDNESDAY,0,1
Eleven viewers are on this page,0,1
Selling Fast,0,1
Your price for this item is $,1,0
Your cart is currently empty.,1,0
Your bag is empty. Let’s do something about that.,1,0
You'll now receive emails from Gap. Check your inbox for your exclusive welcome offer. ​,1,0
We'll start sewing and ship your order in 12-18 business days,1,0
"We detected that you may have open carts on other devices, did you want to merge items from those?",1,0
UP TO 70% OFF SALE!,1,0
United States,1,0
This piece looks amazing. It was delivered in perfect condition. If your willing to spend this much money it is defiantly worth it.,1,0
There really isn��t anything I can say that hasn��t already been said. If somebody said it was 300.00 I would say it��s a good buy.   At 149.00 it��s almost like stealing,1,0
"The double tree perc I bought is now my life partner. It is perfect, wouldn't change a thing. Saving this website for any future needs ?",1,0
Step 2: Enter Quantity for Each Size,1,0
Some people switch from Verizon to T-Mobile.?But one of the most rewarding switches is going from dry herb to concentrates.,1,0
SALE UP TO 70% OFF!,1,0
Sale Up To 70% Off,1,0
Ready in one hour,1,0
OH HEY!  Get yourself 10% off the first order!,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
Offer applies to first-time registrants,1,0
New Users Only,1,0
"Never miss a deal, sign up now. 💌",1,0
More                                exclusive offers Only in EUR,1,0
item in row,1,0
"In stock on November 13, 2021.",1,0
"If you’re looking for the perfect monogrammed jewelry to let your personality shine through, shop Marleylilly’s customizable necklaces, rings, bracelets, and earrings to match literally everything you own.",1,0
"If you break this product, your next one is 50% off!",1,0
I got this jacket on a really good sale a few months ago and i am ecstatic with this. Easy to wash and the embroidery doesn't get damaged like you might expect.,1,0
I got this as a gift for my hubby & we both love it. It hits smooth and the glass is nice and thick. Highly recommend it & thank you smoke cartel staff for getting it out quickly!,1,0
"Get your #hustlergangstyle tips! Hot deals, exclusive offers and fashion inspo are almost in your pocket 😉",1,0
"from gatlinburg, TN on 11/14/2016",1,0
"From celebrating a bride’s new last name to welcoming a little one into the family, customizable monogrammed gifts are the perfect way to show your loved ones how much you care!",1,0
"For Order Over 45,00€",1,0
First test excellent. Will no doubt be running more tests in the not too distant future.,1,0
EXTRA 15% OFF EVERYTHING!*,1,0
Extra 10% off,1,0
Enter your email and we’ll send you a coupon code plus notify you any time we have sales and promotions in the future!,1,0
Download the app for an exclusive 60% OFF Everything*,1,0
"Discover some truly seasonal steals in the Burton sale. You'll get the look you're after for less, but be quick, most stuff won't be sticking around for long so head to the checkout to avoid disappoin",1,0
Disclaimer: Offer valid for new customers only. Cannot be combined with any other offer.,1,0
Buy Now for $70.00,1,0
BACK IN STOCK,1,0
Back In Stock,1,0
As you were browsing something about your browser made us think you were a bot. There are a few reasons this might happen:,1,0
"After viewing product detail pages, look here to find an easy way to navigate back to pages you are interested in.",1,0
"A third-party browser plugin, such as Ghostery or NoScript, is preventing JavaScript from running. Additional information is available in this",1,0
50% Off Logo Setup,1,0
50% OFF Everything*,1,0
50% OFF EVERYTHING*,1,0
50% OFF EVERYTHING!*,1,0
50% OFF EVERYTHING!,1,0
"30 Minutes,",1,0
15 Seconds,1,0
08/11/2021 03:00 ~ 15/11/2021 15:59,1,0
0 SOLD,0,1
"*Extra 15% discount is for new subscribers only. By subscribing, you agree to receive marketing communications from Burton by email. You can unsubscribe at any point.",1,0
(Others charge $35-$59 on orders of less than 12 pieces),1,0
"""It��s for both dabs and flowers and I can��t call it 100% cough free but I definitely don��t feel like I��m gonna have any more coughing fits like in the past this definitely calms the cough! """,1,0
"""I've never tried one before, so my husband and my son told me that it's easy and bought me this. But I love it:sparkling_heart: Thank you:+1:""",1,0
