content,Classification,prediction
REJECT 15% OFF,0,1
"No, it’s enough, no more important, life-changing information for me",0,1
"No thanks, this deal is just too good for me.",0,1
I REJECT MY 15% OFF,0,1
"NO, I’m all set for right now. Maybe later.",0,1
No thanks. My marketing is Arnold level strong.,0,1
Screw it - I reject the awesome offer.,0,1
No Friends,0,1
I reject my 20% off,0,1
"No Thanks, I reject my 20% off and will not see the offer again.",0,1
"No, Let Us Fail",0,1
"No thanks, it’s just socks and sandals for me.",0,1
MISS OUT,0,1
Don’t add these benefits,0,1
"No thanks, I only heart good celebs",0,1
I REJECT MY FREE ISSUE.,0,1
"No thanks, I can’t read",0,1
"I don't want to provide awesome resources for my students, please unsubscribe",0,1
