Pattern String,classification
"JVC 32"" Android TV with Google Assistant | Now €229",1
Save up to €250,0
Here we go! Save up to €250,0
Save up to €150,0
Save up to €190,0
Get your Bake on! Save up to €100,0
Save up to $500,0
Save up to $90,0
Tablets you'll love,1
"To show you Currys stores local to you, all we need is your eircode.",0
"By clicking Accept Cookies, you agree to the storing of cookies on your device to enhance site navigation, analyze site usage, and assist in our marketing efforts. You can change your mind at any time.",1
Recently Viewed,1
You can now pay for your items with your credit card,1
Save up to 50% on Refurb Laptops,0
United States,1
Free delivery from €50 - Returns extended to 60 days.,0
The items you added in your last session have been included.,0
so that we can process the data obtained through your interaction with Mango and offer you personalised content.,0
"You may, at any time, exercise your rights of access, rectification, cancellation, opposition and other legally-established rights via the following e-mail address: personaldata@mango.com.",1
You may consult more detailed information regarding data protection,1
"Meet our weekly new arrivals. Wear them now, thank us later #MANGONewNow",1
Enter your e-mail address and we will notify you if the item becomes available again.,0
Your browser's Javascript functionality is turned off. Please turn it on so that you can experience the full capabilities of this site.,1
"With each new day comes endless possibilities. Embrace the forces of nature, it's time to step into autumn.",1
You can now easily visualise a selection of our designer bags in a full 360 degree experience with fantastic detail.,1
Did you know that you can earn 5% back when you spend using your Brown Thomas VISA Credit Card at any of our Encore Rewards? Partner Hotels?,0
"Home birds, this is your time to shine. Enjoy exclusive offers on the very best homeware brands today.",1
"It's officially time to pack up your sweats, dressing up is the new black!",0
Stay up to date with the latest arrivals and sale events.,0
Get rewards and be the first to know,0
Tax Free Shopping In Ireland,1
"By clicking Accept All Cookies, you agree to the storing of cookies on your device to enhance site navigation, analyse site usage, and assist in our marketing efforts.",1
Good News: No separate charges. Item prices include VAT & tax.,0
What can we do for you?,1
BACK IN STOCK,0
NEW IN SALE,0
UP TO 70% OFF,0
"11                 Bishop Sleeve Belted Tee Dress                 15,00€",1
"14                 One Shoulder Cut Out Ruched Bodycon Dress                 12,00€",1
SHEIN SXY Lace-up Open Back Ruched Bodycon Dress,1
"22                 SHEIN SXY Lace-up Open Back Ruched Bodycon Dress                 10,00$",1
"30                 Sweetheart Neck Puff Sleeve Lace Trim Velvet Dress                 13,00$",1
flash sale,0
