content,Classification
YES! YOU HAD ME AT FREE,Not_Dark
START MY FREE TRIAL NOW,Not_Dark
See FREE Summary,Not_Dark
Continue —>,Not_Dark
UNLOCK THE BEST CARS NOBODY BUYS,Not_Dark
I’m in!,Not_Dark
GET MY 15% OFF,Not_Dark
Give Me the Goods,Not_Dark
Unsubscribe,Not_Dark
UNSUBSCRIBE,Not_Dark
"Ok, I will give it another try.",Not_Dark
UNLOCK THE LIST,Not_Dark
SIGN ME UP,Not_Dark
Join Lion Brand,Not_Dark
Follow,Not_Dark
ENTER TO WIN,Not_Dark
RECEIVE NEW TUTORIALS,Not_Dark
Sign me up!,Not_Dark
"Yes, send 100 vectors my way!",Not_Dark
"Yes, I Want Access!",Not_Dark
SHOW ME THE FILMS,Not_Dark
"Yes, I love art",Not_Dark
SIGN UP,Not_Dark
"Yes, I want to help improve Atom",Not_Dark
YES I WANT INSTANT ACCESS,Not_Dark
YES! I’m always looking to improve my skills!,Not_Dark
SEND ME MY REPORT,Not_Dark
Yes! Teach me about content curation,Not_Dark
Upgrade now,Not_Dark
GET ROLLING >>,Not_Dark
Get My 10% OFF NOW >>,Not_Dark
Spruce Up My Home,Not_Dark
Let’s work it out,Not_Dark
ENTER ME TO WIN,Not_Dark
Yes! Give me Content.,Not_Dark
GET STARTED TODAY,Not_Dark
Get FREE Two-Day Shipping,Not_Dark
I agree,Not_Dark
Send Me The Weed Hacks!,Not_Dark
See the #1 laptop,Not_Dark
SHOW ME THESE SEXY MOVIES,Not_Dark
Download!,Not_Dark
Show Me 14 Simple Dinners,Not_Dark
UNLOCK THE 51 COOLEST CARS,Not_Dark
GET MY ADVICE,Not_Dark
SUBMIT >,Not_Dark
Sounds perfect,Not_Dark
ACTIVATE MY DISCOUNT,Not_Dark
Get the PDF,Not_Dark
SEND ME THE ANSWERS,Not_Dark
Get My Cleaning Tips,Not_Dark
YES I want 10% off,Not_Dark
SUBMIT,Not_Dark
TRANSFORM MY INBOX,Not_Dark
Yes,Not_Dark
UNLOCK THE GUIDE,Not_Dark
UNLOCK THE SEXIEST MOVIES,Not_Dark
"Yes, I want!",Not_Dark
SCORE A DATE,Not_Dark
LIVE HEALTHIER,Not_Dark
Activate Free Trial Now,Not_Dark
Subscribe To The Blog,Not_Dark
Yes! I want to master scaling content,Not_Dark
"YES, Get the FREE Case Study Now",Not_Dark
PURCHASE STANDARD MEMBERSHIP,Not_Dark
Next,Not_Dark
Yes! Please let me know,Not_Dark
Yes! Show me how!,Not_Dark
CONTINUE TO PAYMENT,Not_Dark
SEE THE FUTURE,Not_Dark
I Want It,Not_Dark
UNLOCK NOW,Not_Dark
Add MAX benefits,Not_Dark
JOIN MILLIONS OF OTHERS,Not_Dark
YES - I still want to receive the best free jazz guitar lessons,Not_Dark
Yes ! Count me in!,Not_Dark
GET IT FOR $4.99,Not_Dark
UNLOCK MY 40% OFF,Not_Dark
UNLOCK THE SHOES,Not_Dark
Unlock the Answer,Not_Dark
YES Make me more effective,Not_Dark
YES! Sign me up!,Not_Dark
CONTINUE WITH FACEBOOK,Not_Dark
Get my 20% OFF NOW,Not_Dark
Get FREE One-Day Delivery,Not_Dark
GO,Not_Dark
"Yes, sign me up for Choice Privileges!",Not_Dark
Yes Please!,Not_Dark
GET STARTED,Not_Dark
SEE FULL LIST,Not_Dark
Stay Inspired & Eat Better Than Ever,Not_Dark
GET THE 30 BEST FOODS FOR RUNNERS,Not_Dark
JOINS US,Not_Dark
CLAIME MY FREE ISSUE,Not_Dark
UNLOCK THE RECIPE VAULT,Not_Dark
GET ON THE LIST,Not_Dark
GIVE ME MY 10%,Not_Dark
GET THE FWX NEWSLETTER,Not_Dark
Sign up now,Not_Dark
Subscribe Now!,Not_Dark
I Want Free Ideas,Not_Dark
Save 10%,Not_Dark
Send me the details!,Not_Dark
NO THANKS. I’M ALREADY A GENIUS AND CAN IDENTIFY EVERY FONT WITH EASE.,Dark
"No thanks, I prefer not to be equipped.",Dark
REJECT 15% OFF,Dark
I hate free stuff,Dark
"No thanks, I don’t want a 10% discount and free assets.",Dark
"No thanks, I prefer to pay full price later",Dark
"No thanks, I don’t need this exclusive offer",Dark
No I don’t want free resources from expert developers.,Dark
"no thanks, I’m rich and don’t use discounts",Dark
"No thanks, I’ll pay full price.",Dark
"No thanks, I hate movies.",Dark
"No Thanks, I Prefer To Be Alone.",Dark
"No thanks, I don't want to receive awesome offers.",Dark
"No, it’s enough, no more important, life-changing information for me",Dark
No. I don’t enjoy learning…,Dark
"No thanks, my landing pages don’t need any help",Dark
"No, I don’t want to help",Dark
"No thanks, I prefer not making money.",Dark
"No, I don't consider myself an art lover",Dark
"No thanks, I'll stick to the latest Adam Sandler films.",Dark
No thanks. I don’t want free online course. I KNOW I’m not losing any potential customers.,Dark
"No thanks, this deal is just too good for me.",Dark
"No thanks, I hate saving money.",Dark
I REJECT MY 15% OFF,Dark
"No thanks, I don't like discounts",Dark
"No thanks, I don't want to avoid beginner biking mistakes.",Dark
I'm not interested in being Awesome,Dark
"No thanks, I don't mind mediocrity",Dark
"NO, I’LL WASTE MY TIME",Dark
"NO THANKS, I’D RATHER BE SLEEPING",Dark
"No thanks, I love my laptop too much to upgrade",Dark
I DON’T WANT EXCLUSIVE ADVICE,Dark
"No thanks, I'd Rather Stay Uninformed",Dark
"NO, I STILL DON’T WANT TO WIN",Dark
"NO, I DON'T WANT TO WIN",Dark
"No thanks, I like to make bad choices.",Dark
"NO THANKS, I'D RATHER PAY FULL PRICE",Dark
"Wahhhh, I don’t wanna",Dark
"No thanks, I'll just pay full price",Dark
I DON'T WANT TO BE SUCCESSFUL,Dark
"NO THANKS, I DON'T WANT TO SEE COOL CARS.",Dark
No Thanks I don’t like free icons.,Dark
"NO THANKS, I'D RATHER NOT GET TOP STORIES DELIVERED TO MY INBOX",Dark
"No, I don't want to be warned",Dark
"No thanks, I already get enough emails",Dark
"No thanks, I prefer paying full price.",Dark
NO I don't like discounts,Dark
"NO THANKS, THAT SOAP SCUM ISN’T BOTHERING ME.",Dark
I don't want to land a second interview.,Dark
I don't want to be healthier.,Dark
"NO THANKS, I ENJOY BEING ALONE",Dark
"No, I'll stay the same",Dark
"No thanks, I’m more of a Hulu person.",Dark
"No thanks, I'll continue to freak out.",Dark
"NOPE, “TANTRIC YAB-YUM” SOUNDS BORING",Dark
"NO, I DON'T WANT TO SAVE $8",Dark
"No thanks, I'll just swing by Ikea.",Dark
"No thanks, I'd rather not hire the best.",Dark
"NO, I’m all set for right now. Maybe later.",Dark
"No thanks, I'll keep falling at scalling content",Dark
No thanks. My marketing is Arnold level strong.,Dark
Screw it - I reject the awesome offer.,Dark
No Friends,Dark
I reject my 20% off,Dark
"No, I don't want to improve my photos!",Dark
"No thanks, I'd rather not know about New Media Europe 2016…",Dark
"No Thanks, I reject my 20% off and will not see the offer again.",Dark
"No thanks, I don't like winning",Dark
I like paying full price better than saving with discounts,Dark
"NO THANKS, I DON'T CARE ABOUT THE MOST IMPORTANT MEAL OF THE DAY",Dark
"No, thanks I don’t like movies!",Dark
"No, Let Us Fail",Dark
