content,Classification,prediction
6 - In Stock,0,1
12 - In Stock,0,1
36 watchers are on this page now,0,1
Eleven viewers are on this page,0,1
finishes in 2 days,0,1
 finishes in ten hours,0,1
Your price for this item is $,1,0
What are you looking for?,1,0
"Videos on our Staff Picks - Most Popular Bongs, Vapes & Pipes",1,0
Some people switch from Verizon to T-Mobile.?But one of the most rewarding switches is going from dry herb to concentrates.,1,0
Popup content ends,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
Most Popular,1,0
"Monday, Nov 22",1,0
Low in stock,0,1
50% OFF Everything*,1,0
50% OFF EVERYTHING*,1,0
50% OFF EVERYTHING!*,1,0
50% OFF EVERYTHING!,1,0
"30 Minutes,",1,0
15% off your purchase.,1,0
15 Seconds,1,0
(57% OFF),1,0
