content,Classification,prediction
Your price for this item is $ 89,1,0
Your price for this item is $ 79,1,0
Your price for this item is $ 55,1,0
Your price for this item is $ 49,1,0
Your price for this item is $ 21,1,0
Your price for this item is $ 11,1,0
Selling Fast,0,1
Your Subscribe & Save Items,1,0
Your review was sent successfully and is now waiting for our staff to publish it.,1,0
Your review has already been submitted.,1,0
Your recently viewed items and featured recommendations,1,0
Your Prime Membership,1,0
Your price for this item is $,1,0
your logo at checkout,1,0
Your cart is currently empty.,1,0
Your bag is empty. Let’s do something about that.,1,0
You’re seeing this ad based on the product’s relevance to your search query.,1,0
You'll now receive emails from Gap. Check your inbox for your exclusive welcome offer. ​,1,0
You Save:,1,0
You must login before you make a recurring purchase.,1,0
Worth Twice the Price!,1,0
women's sale,1,0
"Whether you’re making a splash in your new embroidered duck boots or sinking your toes in the sand in a pair of chic monogrammed sandals, you never have to leave your house without sporting your initials again!",1,0
"Whether you’re a Best Buy Totaltech™ member or thinking of joining, here are today’s featured discounts.",1,0
Where every day is a one-day sale.,1,0
"When you shop the Best Buy Deal of the Day, or sign up for our daily e-mails, you'll find fantastic prices on tech from every corner of our site. For example, if you're shopping for",1,0
What are you looking for?,1,0
We'll start sewing and ship your order in 12-18 business days,1,0
We'll Beat Any Price *,1,0
We value your input. Share your review so everyone else can enjoy it too.,1,0
We offer upgraded shipping options at checkout.,1,0
"We detected that you may have open carts on other devices, did you want to merge items from those?",1,0
We Believe in,1,0
Was this review helpful?,1,0
Wardrobe Must-Have,1,0
Want Free Shipping?!,1,0
UP TO 80% OFF,1,0
UP TO 70% OFF SALE!,1,0
Up to 30% off select styles:,1,0
Up to 30% off Curated Styles,1,0
UNLOCK EXCLUSIVE OFFERS & DISCOUNTS,1,0
United States,1,0
UK 5/EU 38,1,0
UK 5.5/EU 38.5,1,0
UK 22/EU 50,1,0
UK 20/EU 48,1,0
UK 16/EU 44,1,0
UK 12/EU 40,1,0
UK 10/EU 38,1,0
twitter  Share Review by Selena G. on  2 Nov 2017,1,0
twitter  Share Review by Olivia J. on  2 Sep 2018,1,0
twitter  Share Review by Michaela R. on 28 Feb 2020,1,0
twitter  Share Review by Jennifer L. on 30 Jan 2019,1,0
twitter  Share Review by Aprill G. on 25 Oct 2017,1,0
Try it before you buy it,1,0
Trade-In Program,1,0
Today's Deals,1,0
to help you or someone you know head off to college with the tech they need to succeed.,1,0
to get 5% off your order!,1,0
To enjoy the following benefits:,1,0
tment. Browse for essentials in our men's underwear sale as well as every day staples in our men's trousers sale and range of sale t-shirts.,1,0
This piece looks amazing. It was delivered in perfect condition. If your willing to spend this much money it is defiantly worth it.,1,0
These are your special gifts,1,0
THERE’S SOMETHING SPECIAL ABOUT A MONOGRAM.,1,0
There's no competition with quality and pricing this good,1,0
There really isn��t anything I can say that hasn��t already been said. If somebody said it was 300.00 I would say it��s a good buy.   At 149.00 it��s almost like stealing,1,0
The previous price was $69.99,1,0
The previous price was $19.99,1,0
The Genius Pipe is one of the most original hand pipes on the market today.,1,0
"The double tree perc I bought is now my life partner. It is perfect, wouldn't change a thing. Saving this website for any future needs ?",1,0
Thanks for subscribing!,1,0
Thank you for your question.,1,0
Thank you for submitting your review.,1,0
Thank you for posting a review!,1,0
"Texts are automated and consent is optional, not a condition of purchase. Message and data rates may apply.",1,0
Tax included and shipping calculated at checkout,1,0
Tall Limited Gothic Applique Tracksuit,1,0
Super Sale,1,0
Summer Sale,1,0
Sugarbear® ProCollagen Vitamins - 6 Month Gift Pack + Free Gift,1,0
Sugarbear® ProCollagen Vitamins - 3 Month Gift Pack + Free Gift,1,0
Subscription Boxes,1,0
Subscribe to our newsletter and always be the first to hear about what is happening.,1,0
Subscribe to exclusive offers and the inside info. Your promo code will be sent by email ASAP.,1,0
Subscribe and save,1,0
Subscribe & Save,1,0
Step 2: Enter Quantity for Each Size,1,0
SPEND JUST $99,1,0
SPECIAL OFFERS,1,0
special offers,1,0
Some people switch from Verizon to T-Mobile.?But one of the most rewarding switches is going from dry herb to concentrates.,1,0
Some functionality will be limited.,1,0
sold out,1,0
Slate Floral Box Graphic T-shirt,1,0
Sign up to receive emails and get 15% off* your next regular-priced purchase.,1,0
Sign up to receive emails and get,1,0
SIGN UP NOW,1,0
Sign up for email,1,0
SIGN UP FOR EMAIL,1,0
Sign in to receive the vouchers below,1,0
Sign in / Register,1,0
Showing 48 of 53 products,1,0
Shop Sale,1,0
"Shop now, pay later!",1,0
