content,Classification,prediction
Want Free Shipping?!,1,0
ve my SugarBearHair!,1,0
Thanks for subscribing!,1,0
Thank You,1,0
Sustainability Plan,1,0
Skip to content,1,0
Read more,1,0
Outfit Ideas,1,0
"Nah, close popup",1,0
MY OFFERS,1,0
My Coupons,1,0
Monograms to Love,1,0
Make Money with Us,1,0
ltis too. #CustomerForLife,1,0
Let us know,1,0
Lease to Own,1,0
Learn more about us,1,0
Learn more,1,0
learn more,1,0
LEARN MORE,1,0
"Great price, decent banger",1,0
Gift Ideas,1,0
Free Logo Evaluation,1,0
For an Exclusive 10% Off,1,0
Exclusive Coupons,1,0
Earn Money,1,0
Deal of the Day.,1,0
Deal of the Day,1,0
Coupons & Discounts,1,0
Click to verify,1,0
All Things Considered,1,0
YES! YOU HAD ME AT FREE,1,0
