content,Classification,prediction
36 watchers are on this page now,0,1
Eleven viewers are on this page,0,1
finishes in 2 days,0,1
 finishes in ten hours,0,1
Wardrobe Must-Have,1,0
"Videos on our Staff Picks - Most Popular Bongs, Vapes & Pipes",1,0
UP TO 80% OFF,1,0
Tall Limited Gothic Applique Tracksuit,1,0
Some people switch from Verizon to T-Mobile.?But one of the most rewarding switches is going from dry herb to concentrates.,1,0
Samuel from Utah,1,0
Popup content ends,1,0
popular times,1,0
Order Now,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
New Users Only,1,0
Nancy from Connecticut,1,0
Most Popular,1,0
Low in stock,0,1
Last Chance,0,1
Ken from Missouri,1,0
Josh from Missouri,1,0
JESSICA from Ohio,1,0
item in row,1,0
Images only,1,0
Get This Deal!,1,0
Collin  from Pennsylvania,1,0
"30 Minutes,",1,0
15 Seconds,1,0
$129.00,1,0
(57% OFF),1,0
