content,Classification,prediction
The product currently is in low stock,0,1
Item for now is in low stock,0,1
This item for now is in low stock,0,1
The product for now is in low stock,0,1
Paul viewed this items 10 minutes ago,0,1
John watched this items 10 minutes ago,0,1
Paul watched this items 10 minutes ago,0,1
Paul viewed this 10 minutes ago,0,1
3 people watched this 10 minutes ago,0,1
Twenty people watched this 10 minutes ago,0,1
John watched this 10 minutes ago,0,1
Paul watched this 10 minutes ago,0,1
John watched this product 10 minutes ago,0,1
Paul watched this product 10 minutes ago,0,1
Paul watched this keyboard 10 minutes ago,0,1
Paul viewed this items just now,0,1
John watched this items just now,0,1
Paul watched this items just now,0,1
Paul viewed this just now,0,1
John watched this just now,0,1
Paul watched this just now,0,1
John watched this product just now,0,1
Paul watched this product just now,0,1
John watched this keyboard just now,0,1
Paul watched this keyboard just now,0,1
John watched this 22’’ television just now,0,1
Paul watched this 22’’ television just now,0,1
Eleven viewers are on this page,0,1
Jordan gives a like 2 mins ago,0,1
The product is in high demand ,0,1
This item ends soon,0,1
finishes in 06:35:25,0,1
Item finishes in 06:35:25,0,1
Deal finishes in 06:35:25,0,1
This item finishes in 06:35:25,0,1
finishes in 2 days,0,1
Item finishes in 2 days,0,1
Deal finishes in 2 days,0,1
This item finishes in 2 days,0,1
 finishes in ten hours,0,1
Item finishes in ten hours,0,1
Deal finishes in ten hours,0,1
This item finishes in ten hours,0,1
"The double tree perc I bought is now my life partner. It is perfect, wouldn't change a thing. Saving this website for any future needs ?",1,0
Popup content ends,1,0
popular times,1,0
Out of Stock,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
New Users Only,1,0
Most Popular,1,0
Limited quantities. See product detail pages for availability.,0,1
Last Chance,0,1
Include Out of Stock,1,0
"In stock on November 13, 2021.",1,0
Images only,1,0
BACK IN STOCK,1,0
Back In Stock,1,0
0 SOLD,0,1
