content,Classification,prediction
Your price for this item is $ 89,1,0
Your price for this item is $ 79,1,0
Your price for this item is $ 55,1,0
Your price for this item is $ 49,1,0
Your price for this item is $ 21,1,0
Your price for this item is $ 11,1,0
bought a,0,1
ENDS WEDNESDAY,0,1
Eleven viewers are on this page,0,1
Selling Fast,0,1
In high demand,0,1
Your Subscribe & Save Items,1,0
Your review was sent successfully and is now waiting for our staff to publish it.,1,0
Your recently viewed items and featured recommendations,1,0
Your price for this item is $,1,0
your logo at checkout,1,0
"Your cookies are disabled. To experience the full world of SFRA, please enable these or check whether another program isblocking them. By enabling them, you are agreeing to our",1,0
Your bag is empty. Let’s do something about that.,1,0
You’re seeing this ad based on the product’s relevance to your search query.,1,0
You've disabled JavaScript in your web browser.,1,0
You've disabled cookies in your web browser.,1,0
You'll now receive emails from Gap. Check your inbox for your exclusive welcome offer. ​,1,0
You must login before you make a recurring purchase.,1,0
You must be 21 years or older to shop.,1,0
You must be 21 years or older to browse this website and purchase products.,1,0
You can access it anytime on your likes page.,1,0
You are using an unsupported browser or your browser might be in the Compatibility View mode,1,0
"With monogrammed rain jackets and coverups, you can sport your own personal touch rain or shine. Get cozy at night in your personalized pajamas and step out in style in any of our monogrammed tops or dresses.",1,0
"Whether you’re making a splash in your new embroidered duck boots or sinking your toes in the sand in a pair of chic monogrammed sandals, you never have to leave your house without sporting your initials again!",1,0
"Whether you’re a Best Buy Totaltech™ member or thinking of joining, here are today’s featured discounts.",1,0
Where every day is a one-day sale.,1,0
"When you shop the Best Buy Deal of the Day, or sign up for our daily e-mails, you'll find fantastic prices on tech from every corner of our site. For example, if you're shopping for",1,0
What can we do for you?,1,0
We'll start sewing and ship your order in 12-18 business days,1,0
We'll Beat Any Price *,1,0
We value your input. Share your review so everyone else can enjoy it too.,1,0
"We use cookies to provide you with the best possible experience. By continuing to use our site, you agree to our use of cookies. Find out more about",1,0
"We use cookies and similar tools that are necessary to enable you to make purchases, to enhance your shopping experiences and to provide our services, as detailed in our",1,0
"We use cookies and other technologies to enhance site navigation, measure performance and analyze traffic and to deliver various marketing services. If you click “Accept Cookies” you accept this use and agree that we share information with our",1,0
We offer upgraded shipping options at checkout.,1,0
"We detected that you may have open carts on other devices, did you want to merge items from those?",1,0
Want Free Shipping?!,1,0
UP TO 80% OFF,1,0
UP TO 70% OFF SALE!,1,0
Up to 30% off Curated Styles,1,0
UNLOCK EXCLUSIVE OFFERS & DISCOUNTS,1,0
United States,1,0
"To improve your experience, we use cookies to remember log-in details, collect statistics and deliver content tailored to your interests. Click Accept to accept cookies or click Cookie Settings to choose whether to accept certain cookies on the site.",1,0
to help you or someone you know head off to college with the tech they need to succeed.,1,0
to get 5% off your order!,1,0
tment. Browse for essentials in our men's underwear sale as well as every day staples in our men's trousers sale and range of sale t-shirts.,1,0
This piece looks amazing. It was delivered in perfect condition. If your willing to spend this much money it is defiantly worth it.,1,0
These remember your shopping preferences and tailor your experience to you such as your language and region. So get you where you need to be. De-selecting these cookies may make the site less relevant to you.,1,0
These remember your shopping preferences and tailor your experience to you such as your language and region. So get you where                                you need to be. De-selecting these cookies may make the site less relevant to you.,1,0
These cookies enable the website to provide enhanced functionality and personalisation. They may be set by us or by third party providers whose services we have added to our pages. If you do not allow these cookies then some or all of these services may not function properly.,1,0
"These cookies are necessary for the website to function and cannot be switched off in our systems. They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms.",1,0
There's no competition with quality and pricing this good,1,0
There really isn��t anything I can say that hasn��t already been said. If somebody said it was 300.00 I would say it��s a good buy.   At 149.00 it��s almost like stealing,1,0
The page you selected cannot handle the problems of existing orders. Do you want to continue?,1,0
"The double tree perc I bought is now my life partner. It is perfect, wouldn't change a thing. Saving this website for any future needs ?",1,0
"Thanks for joining us - as a courtesy, use",1,0
Thank you for your question.,1,0
Thank you for your answer.,1,0
"Texts are automated and consent is optional, not a condition of purchase. Message and data rates may apply.",1,0
Subscribe to exclusive offers and the inside info. Your promo code will be sent by email ASAP.,1,0
Step 2: Enter Quantity for Each Size,1,0
"Sorry, we did not find any products that match the selected filters.",1,0
"Sorry, there was a problem saving your cookie preferences. Try again.",1,0
Some people switch from Verizon to T-Mobile.?But one of the most rewarding switches is going from dry herb to concentrates.,1,0
Some functionality will be limited.,1,0
Sign up to receive emails and get 15% off* your next regular-priced purchase.,1,0
Sign up to receive emails and get,1,0
Sign in to receive the vouchers below,1,0
