content,Classification,prediction
YES I want 10% off,1,0
Yes! I want to master scaling content,1,0
I Want Free Ideas,1,0
"No thanks, I prefer not to be equipped.",0,0
I hate free stuff,0,0
"No thanks, I don’t want a 10% discount and free assets.",0,0
"No thanks, I prefer to pay full price later",0,0
"No thanks, I don’t need this exclusive offer",0,0
"No thanks, I’ll pay full price.",0,0
"No thanks, I hate movies.",0,0
"No Thanks, I Prefer To Be Alone.",0,0
"No thanks, I prefer not making money.",0,0
"No, I don't consider myself an art lover",0,0
No thanks. I don’t want free online course. I KNOW I’m not losing any potential customers.,0,0
"No thanks, this deal is just too good for me.",0,0
"No thanks, I hate saving money.",0,0
"No thanks, I don't like discounts",0,0
"No thanks, I don't want to avoid beginner biking mistakes.",0,0
I'm not interested in being Awesome,0,0
"No thanks, I don't mind mediocrity",0,0
"NO, I’LL WASTE MY TIME",0,0
"NO THANKS, I’D RATHER BE SLEEPING",0,0
"No thanks, I'd Rather Stay Uninformed",0,0
"NO, I STILL DON’T WANT TO WIN",0,0
"NO, I DON'T WANT TO WIN",0,0
"NO THANKS, I'D RATHER PAY FULL PRICE",0,0
"Wahhhh, I don’t wanna",0,0
"No thanks, I'll just pay full price",0,0
I DON'T WANT TO BE SUCCESSFUL,0,0
No Thanks I don’t like free icons.,0,0
"No, I don't want to be warned",0,0
"No thanks, I prefer paying full price.",0,0
NO I don't like discounts,0,0
I don't want to be healthier.,0,0
"NO THANKS, I ENJOY BEING ALONE",0,0
"No thanks, I’m more of a Hulu person.",0,0
"No thanks, I'll continue to freak out.",0,0
"NOPE, “TANTRIC YAB-YUM” SOUNDS BORING",0,0
"NO, I DON'T WANT TO SAVE $8",0,0
"No thanks, I'd rather not hire the best.",0,0
"No thanks, I'll keep falling at scalling content",0,0
No Friends,0,0
"No thanks, I'd rather not know about New Media Europe 2016…",0,0
"No thanks, I don't like winning",0,0
"NO THANKS, I DON'T CARE ABOUT THE MOST IMPORTANT MEAL OF THE DAY",0,0
"No, Let Us Fail",0,0
I PREFER TO PAY FULL PRICE,0,0
No! I love being poor!,0,0
NO - I prefer to keep struggling,0,0
"Nope, continue with boring old email",0,0
"No, I don't want an S7.",0,0
NO I don’t want more knowledge,0,0
"Poochas gracias, I’m not interested",0,0
"No, I do not want to be rewarded at this time.",0,0
"No thanks, I'm not interested in delicious recipes.",0,0
"No thanks, I'll keep procrastinating",0,0
"No thanks, I don't want to have fun on my bike.",0,0
I don't want ideas,0,0
I DO NOT HAVE EMAIL,0,0
"No thanks, I'll stay on the bench",0,0
"No thanks, I'll stay out of the loop",0,0
"NO THANKS, I DON'T WANT TO SAVE THIS SEASON",0,0
"No thanks, I'd like to pay full price.",0,0
