content,Classification,prediction
Your price for this item is $ 89,1,0
Your price for this item is $ 79,1,0
Your price for this item is $ 55,1,0
Your price for this item is $ 49,1,0
Your price for this item is $ 21,1,0
Your price for this item is $ 11,1,0
low stock,0,1
bought a,0,1
ENDS WEDNESDAY,0,1
6 - In Stock,0,1
8 - In Stock,0,1
10 - In Stock,0,1
12 - In Stock,0,1
14 - In Stock,0,1
16 - In Stock,0,1
18 - In Stock,0,1
Eleven viewers are on this page,0,1
Item is selling fast ,0,1
The product is selling fast ,0,1
Selling Fast,0,1
In high demand,0,1
finishes in 06:35:25,0,1
finishes in 2 days,0,1
Item finishes in 2 days,0,1
 finishes in ten hours,0,1
Your recently viewed items and featured recommendations,1,0
Your price for this item is $,1,0
You’re seeing this ad based on the product’s relevance to your search query.,1,0
You'll now receive emails from Gap. Check your inbox for your exclusive welcome offer. ​,1,0
"Whether you’re making a splash in your new embroidered duck boots or sinking your toes in the sand in a pair of chic monogrammed sandals, you never have to leave your house without sporting your initials again!",1,0
"We detected that you may have open carts on other devices, did you want to merge items from those?",1,0
"This scientific formula is free from animal-collagen, packed with Vitamin D and contains Vitamin C which contributes to normal collagen formation for the normal function of skin.* Formulated with nutrients including: Biotin, Methylfolate, Zinc, plus amino acids and more!",1,0
This piece looks amazing. It was delivered in perfect condition. If your willing to spend this much money it is defiantly worth it.,1,0
"These cookies are necessary for the website to function and cannot be switched off in our systems. They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms.",1,0
There really isn��t anything I can say that hasn��t already been said. If somebody said it was 300.00 I would say it��s a good buy.   At 149.00 it��s almost like stealing,1,0
"The double tree perc I bought is now my life partner. It is perfect, wouldn't change a thing. Saving this website for any future needs ?",1,0
Some people switch from Verizon to T-Mobile.?But one of the most rewarding switches is going from dry herb to concentrates.,1,0
OH HEY!  Get yourself 10% off the first order!,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
"Not sure where to start? No worries, our staff picks have you covered. Carefully curated top picks from our staff await, backed by tons of verified user reviews. Your next favorite piece awaits!",1,0
"Never miss a deal, sign up now. 💌",1,0
Low in stock,0,1
Last Chance,0,1
It seems you already have an account created via another Social Network or directly with your email and password.,1,0
"In-store pricing may vary. Prices and offers are subject to change. © 2021 Best Buy. All rights reserved. BEST BUY, the BEST BUY logo, the tag design, and MY BEST BUY are trademarks of Best Buy and its affiliated companies.",1,0
"If you’re looking for the perfect monogrammed jewelry to let your personality shine through, shop Marleylilly’s customizable necklaces, rings, bracelets, and earrings to match literally everything you own.",1,0
"If you're looking for a discreet, reliable, and multi-purpose vaporizer at a great price, the?Pulsar Shift is the unit for you.",1,0
"If you break this product, your next one is 50% off!",1,0
I got this jacket on a really good sale a few months ago and i am ecstatic with this. Easy to wash and the embroidery doesn't get damaged like you might expect.,1,0
I got this as a gift for my hubby & we both love it. It hits smooth and the glass is nice and thick. Highly recommend it & thank you smoke cartel staff for getting it out quickly!,1,0
"Get your #hustlergangstyle tips! Hot deals, exclusive offers and fashion inspo are almost in your pocket 😉",1,0
First test excellent. Will no doubt be running more tests in the not too distant future.,1,0
Enter your email and we’ll send you a coupon code plus notify you any time we have sales and promotions in the future!,1,0
Ends in,0,1
"Discover some truly seasonal steals in the Burton sale. You'll get the look you're after for less, but be quick, most stuff won't be sticking around for long so head to the checkout to avoid disappoin",1,0
Disclaimer: Offer valid for new customers only. Cannot be combined with any other offer.,1,0
As you were browsing something about your browser made us think you were a bot. There are a few reasons this might happen:,1,0
"Although these amazing deals rotate every day, we always have more than one sale a day going on. We even have sales on whole categories of products and deals tailored for a particular audience, such as",1,0
"After viewing product detail pages, look here to find an easy way to navigate back to pages you are interested in.",1,0
"A third-party browser plugin, such as Ghostery or NoScript, is preventing JavaScript from running. Additional information is available in this",1,0
10% voucher applied at checkout,1,0
0 SOLD,0,1
"*Extra 15% discount is for new subscribers only. By subscribing, you agree to receive marketing communications from Burton by email. You can unsubscribe at any point.",1,0
(Others charge $35-$59 on orders of less than 12 pieces),1,0
"""It��s for both dabs and flowers and I can��t call it 100% cough free but I definitely don��t feel like I��m gonna have any more coughing fits like in the past this definitely calms the cough! """,1,0
"""I've never tried one before, so my husband and my son told me that it's easy and bought me this. But I love it:sparkling_heart: Thank you:+1:""",1,0
- Ends in,0,1
