content,presence
Check availability in your area,0
"Sorry, but right now we can only show options for",0
Order online to collect in store                                                            minutes later,0
Standard delivery within 5-7 working days,0
Please add this item to your basket. We'll show you delivery options before you check out.,0
This is helpful,0
This is unhelpful,0
This is helpful,0
This is unhelpful,0
Just brilliant all round,0
This is helpful,0
This is unhelpful,0
This is helpful,0
This is unhelpful,0
This is helpful,0
This is unhelpful,0
within 5 - 7 working days - €6.99,0
Local stores with stock you can collect from now,0
Stock updates,0
Check availability in your area,0
"Sorry, but right now we can only show options for",0
Order online to collect in store                                                            minutes later,0
Standard delivery within 5-7 working days,0
Please add this item to your basket. We'll show you delivery options before you check out.,0
About Currys Ireland Limited,0
