content,Classification,prediction
For 48 Hours Only,0,1
John watched this items 10 minutes ago,0,1
Paul watched this items 10 minutes ago,0,1
John watched this 10 minutes ago,0,1
Paul watched this 10 minutes ago,0,1
John watched this product 10 minutes ago,0,1
Paul watched this product 10 minutes ago,0,1
John watched this keyboard 10 minutes ago,0,1
Paul watched this keyboard 10 minutes ago,0,1
John watched this 22’’ television 10 minutes ago,0,1
Paul watched this 22’’ television 10 minutes ago,0,1
John watched this items just now,0,1
36 watchers are on this page now,0,1
Eleven viewers are on this page,0,1
Jordan gives a like 2 mins ago,0,1
The product is selling fast ,0,1
Selling Fast,0,1
finishes in 06:35:25,0,1
Item finishes in 06:35:25,0,1
Deal finishes in 06:35:25,0,1
 finishes in ten hours,0,1
Item finishes in ten hours,0,1
Deal finishes in ten hours,0,1
"Videos on our Staff Picks - Most Popular Bongs, Vapes & Pipes",1,0
"The double tree perc I bought is now my life partner. It is perfect, wouldn't change a thing. Saving this website for any future needs ?",1,0
SPEND JUST $99,1,0
Some people switch from Verizon to T-Mobile.?But one of the most rewarding switches is going from dry herb to concentrates.,1,0
Receive and approve logo proof via email within 2-3 business days.,1,0
Popup content ends,1,0
popular times,1,0
Out of Stock,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
New Users Only,1,0
Most Popular,1,0
More                                exclusive offers Only in EUR,1,0
Invest in High Tide,1,0
Include Out of Stock,1,0
"In stock on November 13, 2021.",1,0
Enter your email and we’ll send you a coupon code plus notify you any time we have sales and promotions in the future!,1,0
Disclaimer: Offer valid for new customers only. Cannot be combined with any other offer.,1,0
BACK IN STOCK,1,0
Back In Stock,1,0
15 Seconds,1,0
08/11/2021 03:00 ~ 15/11/2021 15:59,1,0
0 SOLD,0,1
(Others charge $35-$59 on orders of less than 12 pieces),1,0
"""I've never tried one before, so my husband and my son told me that it's easy and bought me this. But I love it:sparkling_heart: Thank you:+1:""",1,0
