content,presence
"We use cookies and similar tools that are necessary to enable you to make purchases, to enhance your shopping experiences and to provide our services, as detailed in our",0
"$Nav.importEvent('navbarJS-beaconbelt');$Nav.declare('img.sprite', {  'png32': 'https://images-eu.ssl-images-amazon.com/images/G/02/gno/sprites/nav-sprite-global-1x-hm-dsk-reorg._CB405938116_.png',  'png32-2x': 'https://images-eu.ssl-images-amazon.com/images/G/02/gno/sprites/nav-sprite-global-2x-hm-dsk-reorg._CB405938119_.png'});$Nav.declare('img.timeline', {  'timeline-icon-2x': 'https://images-eu.ssl-images-amazon.com/images/G/02/gno/sprites/timeline_sprite_2x._CB443581191_.png'});window._navbarSpriteUrl = 'https://images-eu.ssl-images-amazon.com/images/G/02/gno/sprites/nav-sprite-global-1x-hm-dsk-reorg._CB405938116_.png';$Nav.declare('img.pixel', 'https://images-eu.ssl-images-amazon.com/images/G/02/x-locale/common/transparent-pixel._CB485934990_.gif');",0
"window.navmet.push({key:'Logo',end:+new Date(),begin:window.navmet.tmp});",0
Select the department you want to search in,0
"Hello, Sign in",0
Sign in,0
Sign in,0
Today's Deals,0
"if (window.ue_t0) {    window.navmet.push({key:""NavMainPaintEnd"",end:+new Date(),begin:window.ue_t0});    window.navmet.push({key:""NavFirstPaintEnd"",end:+new Date(),begin:window.ue_t0});  }",0
Price: Low to High,0
Price: High to Low,0
"Women's 201.10.107.25.300.2105852 Shopper, 99a2, 33 x 11 x 37,5 cm",0
Women's N49c2-40 Low-Top Sneakers,0
Eligible for FREE UK/ROI Delivery,0
Eligible for free delivery,0
FREE Delivery on orders over £10 for books or over £20 for other categories shipped by Amazon,0
£50 to £200,0
"£200 to £1,000",0
Up to £25,0
Last 3 Months,0
Last Month,0
"After viewing product detail pages, look here to find an easy way to navigate back to pages you are interested in.",0
"After viewing product detail pages, look here to find an easy way to navigate back to pages you are interested in.",0
Amazon Pay,0
Top Up Your Account in Store,0
United States,0
We Believe in,0
"Pass it on, trade it in,",0
