content,Classification,prediction
NO THANKS. I’M ALREADY A GENIUS AND CAN IDENTIFY EVERY FONT WITH EASE.,0,0
"No thanks, I prefer not to be equipped.",0,0
"No thanks, I don’t want a 10% discount and free assets.",0,0
"No thanks, I prefer to pay full price later",0,0
"No thanks, I don’t need this exclusive offer",0,0
No I don’t want free resources from expert developers.,0,0
"no thanks, I’m rich and don’t use discounts",0,0
"No thanks, I’ll pay full price.",0,0
"No thanks, I hate movies.",0,0
"No Thanks, I Prefer To Be Alone.",0,0
"No thanks, I don't want to receive awesome offers.",0,0
"No, it’s enough, no more important, life-changing information for me",0,0
No. I don’t enjoy learning…,0,0
"No thanks, my landing pages don’t need any help",0,0
"No, I don’t want to help",0,0
"No thanks, I prefer not making money.",0,0
"No, I don't consider myself an art lover",0,0
"No thanks, I'll stick to the latest Adam Sandler films.",0,0
No thanks. I don’t want free online course. I KNOW I’m not losing any potential customers.,0,0
"No thanks, this deal is just too good for me.",0,0
"No thanks, I hate saving money.",0,0
"No thanks, I don't like discounts",0,0
"No thanks, I don't want to avoid beginner biking mistakes.",0,0
"No thanks, I don't mind mediocrity",0,0
"NO, I’LL WASTE MY TIME",0,0
"NO THANKS, I’D RATHER BE SLEEPING",0,0
"No thanks, I love my laptop too much to upgrade",0,0
I DON’T WANT EXCLUSIVE ADVICE,0,0
"No thanks, I'd Rather Stay Uninformed",0,0
"NO, I STILL DON’T WANT TO WIN",0,0
"NO, I DON'T WANT TO WIN",0,0
"No thanks, I like to make bad choices.",0,0
"NO THANKS, I'D RATHER PAY FULL PRICE",0,0
"Wahhhh, I don’t wanna",0,0
"No thanks, I'll just pay full price",0,0
I DON'T WANT TO BE SUCCESSFUL,0,0
"NO THANKS, I DON'T WANT TO SEE COOL CARS.",0,0
No Thanks I don’t like free icons.,0,0
"NO THANKS, I'D RATHER NOT GET TOP STORIES DELIVERED TO MY INBOX",0,0
"No, I don't want to be warned",0,0
"No thanks, I already get enough emails",0,0
"No thanks, I prefer paying full price.",0,0
NO I don't like discounts,0,0
"NO THANKS, THAT SOAP SCUM ISN’T BOTHERING ME.",0,0
I don't want to land a second interview.,0,0
I don't want to be healthier.,0,0
"NO THANKS, I ENJOY BEING ALONE",0,0
"No, I'll stay the same",0,0
"No thanks, I’m more of a Hulu person.",0,0
"No thanks, I'll continue to freak out.",0,0
"NO, I DON'T WANT TO SAVE $8",0,0
"No thanks, I'll just swing by Ikea.",0,0
"No thanks, I'd rather not hire the best.",0,0
"No thanks, I'll keep falling at scalling content",0,0
No thanks. My marketing is Arnold level strong.,0,0
"No, I don't want to improve my photos!",0,0
"No thanks, I'd rather not know about New Media Europe 2016…",0,0
"No Thanks, I reject my 20% off and will not see the offer again.",0,0
"No thanks, I don't like winning",0,0
I like paying full price better than saving with discounts,0,0
"NO THANKS, I DON'T CARE ABOUT THE MOST IMPORTANT MEAL OF THE DAY",0,0
"No, thanks I don’t like movies!",0,0
I DON’T LIKE FUTURISTIC TECHNOLOGY,0,0
"No thanks, it’s just socks and sandals for me.",0,0
I PREFER TO PAY FULL PRICE,0,0
No! I love being poor!,0,0
NO - I prefer to keep struggling,0,0
"No thanks, I prefer to be miserable in the morning",0,0
"Nah, no thanks. Please don’t show me this hogwash again.",0,0
"No, I don't want an S7.",0,0
NO I don’t want more knowledge,0,0
"No, I do not want to be rewarded at this time.",0,0
I DON'T WANT TO KNOW ABOUT POWER BREAKFASTS.,0,0
"No thanks, I'm not interested in delicious recipes.",0,0
"No thanks, I only heart good celebs",0,0
"No thanks, I'll keep procrastinating",0,0
I don't like to try new recipes.,0,0
"No thanks, I don't want to have fun on my bike.",0,0
"No Thanks, I Don't Want Help With My Education And Career Goals.",0,0
I don't want ideas,0,0
"No thanks, I can’t read",0,0
"No thanks, I'll stay on the bench",0,0
"No thanks, I'll stay out of the loop",0,0
"No thanks, I prefer to pay full price for ACTUALLY cute, custom clothing",0,0
"NO THANKS, I DON'T WANT TO SAVE THIS SEASON",0,0
"I don't want to provide awesome resources for my students, please unsubscribe",0,0
"No, I don't want a new iPhone",0,0
"No thanks, I'd like to pay full price.",0,0
"No thanks, I don't want Unlimited One-Day Delivery",0,0
