Pattern String,classification,Pattern Type
Only 2 left,0.0,Low-stock Message
Only 3 left,0.0,Low-stock Message
9 people are viewing this.,0.0,Activity Notification
5338 people viewed this in the last hour,0.0,Activity Notification
"Crystal Li in Flushing, United States purchased a",0.0,Activity Notification
2 people are looking right now,0.0,Activity Notification
3 people bought this item last week.,0.0,Activity Notification
31 people seeing this product right now,0.0,Activity Notification
19 people have viewed this item,0.0,Activity Notification
2 people are looking at this listing now,0.0,Activity Notification
4 sold in last 5 hours,0.0,Activity Notification
72 Viewing This Product,0.0,Activity Notification
Favored By: 400 people!,0.0,Activity Notification
Real time 30 Visitor right now,0.0,Activity Notification
9 sold in last 4 hours,0.0,Activity Notification
61 people have already bought that product today with 50% discount,0.0,Activity Notification
"1,446 people have viewed this item",0.0,Activity Notification
218 people have added this item to cart,0.0,Activity Notification
11 people have purchased this item,0.0,Activity Notification
38 people are viewing this,0.0,Activity Notification
"Someone from Rochedale, Queensland, Australia started buying this!",0.0,Activity Notification
39 recently purchased it,0.0,Activity Notification
85 have it in their cart,0.0,Activity Notification
"Leah Rich in Louisville, United States purchased a",0.0,Activity Notification
"Someone in Madrid, Spain just bought",0.0,Activity Notification
33 sold in last 12 hours.,0.0,Activity Notification
78 Persons looking for this product,0.0,Activity Notification
"Tyler in Norwalk, United States purchased a",0.0,Activity Notification
"Someone in Ampang, Malaysia just bought",0.0,Activity Notification
"Sudha rana from Jaipur bought this product, 23 Mins ago.",0.0,Activity Notification
404 Orders,0.0,Activity Notification
Trending Style! Sold 4 times today,0.0,Activity Notification
"3,081 people have viewed this item",0.0,Activity Notification
166 people have added this item to cart,0.0,Activity Notification
111 people have purchased this item,0.0,Activity Notification
7 people have it in their cart,0.0,Activity Notification
1 person is viewing this,0.0,Activity Notification
273 units sold in the last 30 days,0.0,Activity Notification
33 people are eyeing this item!,0.0,Activity Notification
"Jamie in Nashville, United States purchased",0.0,Activity Notification
117 people have viewed this item in the last 7 days.,0.0,Activity Notification
3642 BOUGHT,0.0,Activity Notification
"Mounif in Pittsburgh, United States purchased",0.0,Activity Notification
2049 sold in the last 7 days,0.0,Activity Notification
1626 people seeing this product right now,0.0,Activity Notification
In other users' carts 59,0.0,Activity Notification
5 Viewing This Product,0.0,Activity Notification
"Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States",0.0,Activity Notification
"Bobby in Decatur, United States just purchased",0.0,Activity Notification
"2,221 people have purchased this item",0.0,Activity Notification
"19,302 people have added this item to cart",0.0,Activity Notification
"25,439 people have viewed this item",0.0,Activity Notification
"BERNARD in Philadelphia, United States purchased a",0.0,Activity Notification
16 recently purchased it.,0.0,Activity Notification
3 people are looking at this product,0.0,Activity Notification
"Someone in Sasebo, Japan just bought",0.0,Activity Notification
17 people have added this item to cart,0.0,Activity Notification
4 people have purchased this item,0.0,Activity Notification
161 people have viewed this item,0.0,Activity Notification
Someone in Egypt bought,0.0,Activity Notification
"1,142 people have added to cart recently",0.0,Activity Notification
"6,743 people have viewed recently",0.0,Activity Notification
105 pawrents are buying for their furkids now!,0.0,Activity Notification
339 users are currently active on our website,0.0,Activity Notification
"William in Pago Pago, United States purchased a",0.0,Activity Notification
"Oscar from Cajamarca, Peru purchased",0.0,Activity Notification
"tuvia eisenberg Systematics in Tel Aviv, Israel purchased a",0.0,Activity Notification
"Jeremy in Warroad, United States purchased a",0.0,Activity Notification
1 person is looking at this item.,0.0,Activity Notification
Get it fast! 14 added to bag today,0.0,Activity Notification
30 people have purchased this item,0.0,Activity Notification
Purchased 6 times this week.,0.0,Activity Notification
8 customers have bought today,0.0,Activity Notification
80 Customers are considering this product right now.,0.0,Activity Notification
24 sold in last 24 hours.,0.0,Activity Notification
21 people looked at this during the last 24 hours,0.0,Activity Notification
"Someone in Byron Bay, NSW just bought",0.0,Activity Notification
Bought by 39 people in last few hours! HOT SELLER!,0.0,Activity Notification
23 People viewing this product,0.0,Activity Notification
1 other customers have this item in their shopping cart,0.0,Activity Notification
8 people are looking at this artwork,0.0,Activity Notification
104 people viewed this product recently!,0.0,Activity Notification
5 people are looking at this product right now,0.0,Activity Notification
19 people viewed this product per day,0.0,Activity Notification
6 other people looking at this item,0.0,Activity Notification
"Edwin in Woodland Park, NJ just bought",0.0,Activity Notification
65% of our customers added Surefit protection this year.,0.0,Activity Notification
3 PEOPLE VIEWING,0.0,Activity Notification
24 people currently interested,0.0,Activity Notification
3 people are looking at this item right now,0.0,Activity Notification
DON'T LET 'EM GET AWAY Several people have recently viewed this item.,0.0,Activity Notification
7 users have looked at this product in the past 6 minutes,0.0,Activity Notification
"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",0.0,Activity Notification
12 recently purchased it.,0.0,Activity Notification
2 people are viewing this,0.0,Activity Notification
Someone from Airdrie & 10820 others bought this item recently.,0.0,Activity Notification
THIS PRODUCT HAS BEEN VIEWED 480 TIMES IN THE LAST 48 HOURS,0.0,Activity Notification
89 currently viewing,0.0,Activity Notification
"Our most recent customers are from New Rochelle, Roseville, and Brooksville",0.0,Activity Notification
HOT PRODUCT Over 250 people are looking at this item.,0.0,Activity Notification
Other people want this. 10 people have this in their cart right now.,0.0,Activity Notification
88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,0.0,Activity Notification
143 BOUGHT,0.0,Activity Notification
5338 people bought this,0.0,Activity Notification
31 have it in their cart,0.0,Activity Notification
69 people are viewing this,0.0,Activity Notification
"Rick in Columbia, United States purchased a",0.0,Activity Notification
James from Colonia purchased a,0.0,Activity Notification
146 people recently purchased this.,0.0,Activity Notification
9 people are currently viewing this product,0.0,Activity Notification
308 viewed per day,0.0,Activity Notification
7 sold in last 24 hours,0.0,Activity Notification
2 viewed per hour,0.0,Activity Notification
"Jeremy in Stockton, United States purchased a",0.0,Activity Notification
57 PEOPLE HAVE LOOKED AT THIS TODAY,0.0,Activity Notification
This is in 5 other carts.,0.0,Activity Notification
Purchased 8 times in the last few days.,0.0,Activity Notification
6 people have looked at this in the last few hrs.,0.0,Activity Notification
93 PEOPLE HAVE BOUGHT THIS PRODUCT TODAY,0.0,Activity Notification
7 sold in the last 48 hours,0.0,Activity Notification
210+ bought,0.0,Activity Notification
"Someone in Chambersburg, Pennsylvania purchased",0.0,Activity Notification
99 people are looking at this right now,0.0,Activity Notification
11 people viewed this today!,0.0,Activity Notification
Last purchase was 18 minutes ago by someone from Dublin,0.0,Activity Notification
Viewed 1040 times in the last 7 days,0.0,Activity Notification
Hurry up! 6 people other than you have this product in their cart,0.0,Activity Notification
Hurry up! 22 people other than you have this product in their cart,0.0,Activity Notification
8 people have viewed this product today!,0.0,Activity Notification
Don't miss out! We've sold 38 in the last few days.,0.0,Activity Notification
52 people are looking at this right now.,0.0,Activity Notification
#6 Bestseller in Rugs This item was viewed 92 times in the last day.,0.0,Activity Notification
Over 38 bought,0.0,Activity Notification
OH SO POPULAR! 21 bought in the last 7 days.,0.0,Activity Notification
156 sold in last 24 hours,0.0,Activity Notification
RECENTLY VIEWED 2 others viewed this in the last few hours,0.0,Activity Notification
40 users are currently active on our website just now.,0.0,Activity Notification
45 ADDED TO BAG IN THE PAST 24 HOURS,0.0,Activity Notification
7 people looked at this product in the last 24 hours.,0.0,Activity Notification
"Awhi from Hicks Bay, Gisborne, New Zealand just bought",0.0,Activity Notification
251 people are viewing this right now,0.0,Activity Notification
127 People viewed this product this week,0.0,Activity Notification
2 people have looked at this in the last couple of hrs.,0.0,Activity Notification
Someone in United States just purchased a,0.0,Activity Notification
Trending now! Added to basket 490 times today,0.0,Activity Notification
Trending now! Added to basket 38 times today,0.0,Activity Notification
IN 43 PEOPLE'S SHOPPING BAG,0.0,Activity Notification
MOST POPULAR,0.0,Activity Notification
660 people have viewed today,0.0,Activity Notification
113 people have viewed in the last 24hrs,0.0,Activity Notification
407 customers have viewed this item recently,0.0,Activity Notification
Fast Mover: 35 PEOPLE added this to cart today!,0.0,Activity Notification
22 people have looked at this part recently,0.0,Activity Notification
This product was viewed 26 seconds ago by someone from Princeton,0.0,Activity Notification
8 people have this in their bag right now.,0.0,Activity Notification
Purchased 100+ times in the last few days.,0.0,Activity Notification
1 people are viewing this currently,0.0,Activity Notification
92 customers bought this in the last 48 hours,0.0,Activity Notification
62 people have looked at this item in the last few hours.,0.0,Activity Notification
13 people have added this to their cart,0.0,Activity Notification
135 people have this in their cart,0.0,Activity Notification
Add to Wish List(13 People Have Added),0.0,Activity Notification
77 PEOPLE LIKE THIS,0.0,Activity Notification
43 added to bag in the last 48hrs,0.0,Activity Notification
Over 200 views in 24 hrs,0.0,Activity Notification
227 Bought Already,0.0,Activity Notification
POPULAR 62 others checked this out in the last few hours.,0.0,Activity Notification
POPULAR 64 others checked this out in the last few hours.,0.0,Activity Notification
Viewed 744 times today,0.0,Activity Notification
"2,229 people have viewed this item",0.0,Activity Notification
715 people have added this item to cart,0.0,Activity Notification
71 people have purchased this item,0.0,Activity Notification
12 customers viewed this product today!,0.0,Activity Notification
6 customers have this in their basket,0.0,Activity Notification
7 customers have this in their basket,0.0,Activity Notification
Selling fast! Add to bag 7 times in the last 48 hours.,0.0,Activity Notification
