content,Classification,prediction
36 watchers are on this page now,0,1
Eleven viewers are on this page,0,1
Jordan gives a like 2 mins ago,0,1
Item is selling fast ,0,1
The product is selling fast ,0,1
The product is selling fast this month,0,1
The product is selling fast in the last two weeks ,0,1
finishes in 06:35:25,0,1
Item finishes in 06:35:25,0,1
Deal finishes in 06:35:25,0,1
finishes in 2 days,0,1
Deal finishes in 2 days,0,1
 finishes in ten hours,0,1
Deal finishes in ten hours,0,1
"The double tree perc I bought is now my life partner. It is perfect, wouldn't change a thing. Saving this website for any future needs ?",1,0
Tall Limited Gothic Applique Tracksuit,1,0
Popup content ends,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
Offer applies to first-time registrants,1,0
New Users Only,1,0
Limited quantities. See product detail pages for availability.,0,1
Last Chance,0,1
"In stock on November 13, 2021.",1,0
Images only,1,0
BACK IN STOCK,1,0
Back In Stock,1,0
"30 Minutes,",1,0
0 SOLD,0,1
