content,Classification,prediction
Someone from Italy bought a Cmiroud bluetooth headphone,0,1
Jully bought a keyboard 2 days ago,0,1
bought a,0,1
For 48 Hours Only,0,1
Paul viewed this items in the last 3 hours,0,1
John watched this items in the last 3 hours,0,1
Paul watched this items in the last 3 hours,0,1
Paul viewed this in the last 3 hours,0,1
John watched this in the last 3 hours,0,1
Paul watched this in the last 3 hours,0,1
Paul viewed this product in the last 3 hours,0,1
John watched this product in the last 3 hours,0,1
Paul watched this product in the last 3 hours,0,1
John viewed this keyboard in the last 3 hours,0,1
Paul viewed this keyboard in the last 3 hours,0,1
John watched this keyboard in the last 3 hours,0,1
Paul watched this keyboard in the last 3 hours,0,1
John viewed this 22’’ television in the last 3 hours,0,1
Paul viewed this 22’’ television in the last 3 hours,0,1
John watched this 22’’ television in the last 3 hours,0,1
Paul watched this 22’’ television in the last 3 hours,0,1
Paul viewed this items in the last five hours,0,1
John watched this items in the last five hours,0,1
Paul watched this items in the last five hours,0,1
Paul viewed this in the last five hours,0,1
John watched this in the last five hours,0,1
Paul watched this in the last five hours,0,1
Paul viewed this product in the last five hours,0,1
John watched this product in the last five hours,0,1
Paul watched this product in the last five hours,0,1
John viewed this keyboard in the last five hours,0,1
Paul viewed this keyboard in the last five hours,0,1
John watched this keyboard in the last five hours,0,1
Paul watched this keyboard in the last five hours,0,1
Paul viewed this 22’’ television in the last five hours,0,1
John watched this 22’’ television in the last five hours,0,1
Paul watched this 22’’ television in the last five hours,0,1
John watched this keyboard 10 minutes ago,0,1
Paul watched this keyboard 10 minutes ago,0,1
Paul viewed this items just now,0,1
John watched this items just now,0,1
Paul watched this items just now,0,1
John watched this just now,0,1
Paul watched this product just now,0,1
John viewed this keyboard just now,0,1
Paul viewed this keyboard just now,0,1
Twenty people watched this keyboard just now,0,1
John watched this keyboard just now,0,1
Paul watched this keyboard just now,0,1
John viewed this 22’’ television just now,0,1
Paul viewed this 22’’ television just now,0,1
John watched this 22’’ television just now,0,1
Paul watched this 22’’ television just now,0,1
Twenty-two people are viewing this keyboard ,0,1
Twenty-two people are currently viewing this keyboard ,0,1
Twenty-two people are watching this keyboard ,0,1
Twenty-two people are currently watching this keyboard ,0,1
Twenty-two people are viewing this 32’’ Monitor,0,1
Twenty-two people are currently viewing this 32’’ Monitor,0,1
Twenty-two people are watching this 32’’ Monitor,0,1
Twenty-two people are currently watching this 32’’ Monitor,0,1
36 watchers are on this page now,0,1
Eleven viewers are on this page,0,1
The product is in high demand this month,0,1
finishes in 2 days,0,1
Item finishes in 2 days,0,1
Deal finishes in 2 days,0,1
This item finishes in 2 days,0,1
 finishes in ten hours,0,1
Item finishes in ten hours,0,1
Deal finishes in ten hours,0,1
This item finishes in ten hours,0,1
Popup content ends,1,0
Most Popular,1,0
Low in stock,0,1
Limited quantities. See product detail pages for availability.,0,1
Last Chance,0,1
For an Exclusive 10% Off,1,0
"200,000+ Customers",1,0
15 Seconds,1,0
