content,Classification,prediction
12 - In Stock,0,1
14 - In Stock,0,1
Eleven viewers are on this page,0,1
Item is selling fast ,0,1
The product is selling fast ,0,1
finishes in 06:35:25,0,1
Item finishes in 06:35:25,0,1
Deal finishes in 06:35:25,0,1
This item finishes in 06:35:25,0,1
finishes in 2 days,0,1
Item finishes in 2 days,0,1
Deal finishes in 2 days,0,1
This item finishes in 2 days,0,1
 finishes in ten hours,0,1
Item finishes in ten hours,0,1
"The double tree perc I bought is now my life partner. It is perfect, wouldn't change a thing. Saving this website for any future needs ?",1,0
Popup content ends,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
New Users Only,1,0
Limited quantities. See product detail pages for availability.,0,1
Last Chance,0,1
I got this jacket on a really good sale a few months ago and i am ecstatic with this. Easy to wash and the embroidery doesn't get damaged like you might expect.,1,0
15 Seconds,1,0
