Pattern String,classification
Ends in 07:42:09,Not_Dark
Ends in 07:37:10,Not_Dark
Ends in 02:27:10,Not_Dark
Ends in 04:17:10,Not_Dark
Ends in 01:57:10,Not_Dark
Ends in 02:32:10,Not_Dark
Ends in 05:22:10,Not_Dark
Ends in 01:17:09,Not_Dark
"Limited-time deal: Up to 80% off, select top reads on Kindle",Not_Dark
Ends in 57:09,Not_Dark
Ends in 47:09,Not_Dark
Only 16 left in stock - order soon.,Not_Dark
Only 8 left in stock - order soon.,Not_Dark
Only 15 left in stock - order soon.,Not_Dark
"17,133 sold",Not_Dark
89 sold,Not_Dark
594 sold,Not_Dark
"1,214 sold",Not_Dark
104 sold,Not_Dark
"2,862 sold",Not_Dark
"6,944 sold",Not_Dark
Only 2 left,Not_Dark
161 sold,Not_Dark
97 sold,Not_Dark
574 sold,Not_Dark
"3,715 sold",Not_Dark
54 sold,Not_Dark
76 sold,Not_Dark
"4,495 sold",Not_Dark
441 sold,Not_Dark
251 sold,Not_Dark
203 sold,Not_Dark
53 sold,Not_Dark
497 sold,Not_Dark
"1,028 sold",Not_Dark
52 sold,Not_Dark
308 sold,Not_Dark
22 watching,Not_Dark
396 sold,Not_Dark
28 sold,Not_Dark
487 sold,Not_Dark
8 watching,Not_Dark
51 sold,Not_Dark
414 sold,Not_Dark
184 sold,Not_Dark
859 sold,Not_Dark
795 sold,Not_Dark
73 sold,Not_Dark
110 sold,Not_Dark
178 sold,Not_Dark
"4,316 sold",Not_Dark
"10,865 sold",Not_Dark
157 sold,Not_Dark
10 watching,Not_Dark
315 sold,Not_Dark
"7,999 sold",Not_Dark
467 sold,Not_Dark
"6,798 sold",Not_Dark
310 sold,Not_Dark
5 watching,Not_Dark
291 sold,Not_Dark
61 sold,Not_Dark
171 sold,Not_Dark
Only 3 left,Not_Dark
"3,522 sold",Not_Dark
85 sold,Not_Dark
"4,303 sold",Not_Dark
"1,358 sold",Not_Dark
18 sold,Not_Dark
17 watching,Not_Dark
82 sold,Not_Dark
49 sold,Not_Dark
687 sold,Not_Dark
4 watching,Not_Dark
311 sold,Not_Dark
645 sold,Not_Dark
312 sold,Not_Dark
"1,242 sold",Not_Dark
1 watching,Not_Dark
"1,296 sold",Not_Dark
120 sold,Not_Dark
"11,632 sold",Not_Dark
"5,208 sold",Not_Dark
"1,077 watchers",Not_Dark
Ends in,Not_Dark
88 Sold                22%,Not_Dark
88 Sold,Not_Dark
5 Sold                3%,Not_Dark
5 Sold,Not_Dark
20 Sold                10%,Not_Dark
20 Sold,Not_Dark
10 Sold                5%,Not_Dark
10 Sold,Not_Dark
3 Sold                2%,Not_Dark
3 Sold,Not_Dark
68 Sold                34%,Not_Dark
