content,Classification,prediction
YES I want 10% off,1,0
Yes! I want to master scaling content,1,0
I Want Free Ideas,1,0
NO THANKS. I’M ALREADY A GENIUS AND CAN IDENTIFY EVERY FONT WITH EASE.,0,1
REJECT 15% OFF,0,1
No I don’t want free resources from expert developers.,0,1
"no thanks, I’m rich and don’t use discounts",0,1
"No thanks, I don't want to receive awesome offers.",0,1
"No, it’s enough, no more important, life-changing information for me",0,1
No. I don’t enjoy learning…,0,1
"No thanks, my landing pages don’t need any help",0,1
"No, I don’t want to help",0,1
"No thanks, I'll stick to the latest Adam Sandler films.",0,1
I REJECT MY 15% OFF,0,1
"No thanks, I love my laptop too much to upgrade",0,1
I DON’T WANT EXCLUSIVE ADVICE,0,1
"No thanks, I like to make bad choices.",0,1
"NO THANKS, I DON'T WANT TO SEE COOL CARS.",0,1
"NO THANKS, I'D RATHER NOT GET TOP STORIES DELIVERED TO MY INBOX",0,1
"No thanks, I already get enough emails",0,1
"NO THANKS, THAT SOAP SCUM ISN’T BOTHERING ME.",0,1
I don't want to land a second interview.,0,1
"No, I'll stay the same",0,1
"No thanks, I'll just swing by Ikea.",0,1
"NO, I’m all set for right now. Maybe later.",0,1
No thanks. My marketing is Arnold level strong.,0,1
Screw it - I reject the awesome offer.,0,1
I reject my 20% off,0,1
"No, I don't want to improve my photos!",0,1
"No Thanks, I reject my 20% off and will not see the offer again.",0,1
I like paying full price better than saving with discounts,0,1
"No, thanks I don’t like movies!",0,1
I DON’T LIKE FUTURISTIC TECHNOLOGY,0,1
"No thanks, it’s just socks and sandals for me.",0,1
MISS OUT,0,1
"No thanks, I prefer to be miserable in the morning",0,1
Don’t add these benefits,0,1
"Nah, no thanks. Please don’t show me this hogwash again.",0,1
I DON'T WANT TO KNOW ABOUT POWER BREAKFASTS.,0,1
"No thanks, I only heart good celebs",0,1
I don't like to try new recipes.,0,1
I REJECT MY FREE ISSUE.,0,1
"No Thanks, I Don't Want Help With My Education And Career Goals.",0,1
"No thanks, I can’t read",0,1
"No thanks, I prefer to pay full price for ACTUALLY cute, custom clothing",0,1
"I don't want to provide awesome resources for my students, please unsubscribe",0,1
"No, I don't want a new iPhone",0,1
"No thanks, I don't want Unlimited One-Day Delivery",0,1
