content,presence
Built-in cooking,0
Built-in Appliances,0
Deals & Offers,0
As Advertised on TV,0
Built-in cooking,0
Built-in single ovens,0
Built-in double ovens,0
Built-in microwaves,0
Built-in Appliances,0
Expert installation,0
Built-in microwaves,0
All-in-one soundbars,0
Expert installation,0
All-in-one soundbars,0
In-ear headphones,0
On-ear headphones,0
2 in 1 laptops,0
MacBook Pro,0
All-in-one PCs,0
iPad Pro,0
Microsoft Surface Pro,0
"23"" - 26""",0
In-car accessories,0
Deals & Offers,0
All Deals and Offers,0
Computing Deals and Offers,0
Large Kitchen Appliance Deals and Offers,0
Small Kitchen Appliance Deals and Offers,0
TV & Smart Tech Deals and Offers,0
As Advertised on TV,0
Discount Codes,0
Free delivery and recycling.,0
on Go Greener tech!,0
€50 off when you spend over €500.,0
€100 off when you spend over €1000.,0
Customer rating,0
Getting it to you,0
Energy rating,0
Fast freeze,0
Fast chill,0
Customer rating,0
items per page,0
No need to defrost with frost free technology,0
Fan cooling creates the ideal conditions in your fridge,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
+ 2 more offers,0
Save €150.00,0
FAST delivery,0
Collection not available,0
"Keep food fresher for longer  The Kenwood KSBSDIX20 American-Style Fridge Freezer helps you preserve your food for longer. The Multi Cooling System uses eight air ducts that spread cool air quickly and evenly to keep your food at its most fresh,...",0
No need to defrost with frost free technology,0
Fan cooling creates the ideal conditions in your fridge,0
Fast freeze rapidly lowers the temperature inside the freezer,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
+ 2 more offers,0
Save €50.00,0
FAST delivery,0
Collection not available,0
"Store the whole family's weekly shop with the Kenwood KMD60X19 Fridge Freezer.With side-by-side fridge doors and two large freezer drawers, there's plenty of room for everything from fruit and veg to a cheeky tub of ice cream.Tired of defrosting...",0
No need to defrost with frost free technology,0
Fan cooling creates the ideal conditions in your fridge,0
Fast freeze rapidly lowers the temperature inside the freezer,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
+ 2 more offers,0
Save €100.00,0
(from 23/07/2021 to 31/08/2021),0
FAST delivery,0
Collection not available,0
"Plenty of storage space for the weekly shopIdeal for large families and busy households, the Kenwood KSBSX20 American-Style Fridge Freezer offers a massive 532 litres of storage space. You'll easily be able to keep your weekly shopping cool...",0
No need to defrost with frost free technology,0
Fast chill rapidly lowers the temperature inside the fridge,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
+ 2 more offers,0
Save €150.00,0
FAST delivery,0
Collection not available,0
"Plenty of storageIdeal for large families and busy households, the Kenwood KSBSDX20 American-Style Fridge Freezer offers a massive 578 litres of storage space. You'll easily be able to keep your weekly shopping cool without needing to delicately...",0
Convertible fridge & freezer zone for extra storage,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
+ 2 more offers,0
Save €30.00,0
FAST delivery,0
Collection not available,0
Fan cooling creates the ideal conditions in your fridge,0
Fast freeze rapidly lowers the temperature inside the freezer,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
+ 2 more offers,0
Save €400.00,0
FAST delivery,0
Collection not available,0
