content,presence
"1,000+ bought this",0
"100,000+ bought this",0
"10,000+ bought this",0
100+ bought this,0
"5,000+ bought this",0
"20,000+ bought this",0
"20,000+ bought this",0
"1,000+ bought this",0
"1,000+ bought this",0
"10,000+ bought this",0
"20,000+ bought this",0
"1,000+ bought this",0
"1,000+ bought this",0
"1,000+ bought this",0
"1,000+ bought this",0
"100,000+ bought this",0
"1,000+ bought this",0
"100,000+ bought this",0
"1,000+ bought this",0
"5,000+ bought this",0
"5,000+ bought this",0
"1,000+ bought this",0
"50,000+ bought this",0
"10,000+ bought this",0
50+ bought this,0
100+ bought this,0
"10,000+ bought this",0
"1,000+ bought this",0
"1,000+ bought this",0
"1,000+ bought this",0
"20,000+ bought this",0
"1,000+ bought this",0
"5,000+ bought this",0
"1,000+ bought this",0
