content,Classification,prediction
Your price for this item is $ 89,1,0
Your price for this item is $ 79,1,0
Your price for this item is $ 55,1,0
Your price for this item is $ 49,1,0
Your price for this item is $ 21,1,0
Your price for this item is $ 11,1,0
36 watchers are on this page now,0,1
Zip Up Belted PU Moto Jacket,1,0
Your Subscribe & Save Items,1,0
Your review has already been submitted.,1,0
Your price for this item is $,1,0
Your Orders,1,0
your logo at checkout,1,0
Your Guaranteed Lowest Pricing,1,0
YOUR FIRST                                ORDER,1,0
your entire order!,1,0
Your Coupon Is FREELOGOSHIP,1,0
Your cart is currently empty.,1,0
Your bag is empty. Let’s do something about that.,1,0
You’re seeing this ad based on the product’s relevance to your search query.,1,0
You've disabled JavaScript in your web browser.,1,0
You've disabled cookies in your web browser.,1,0
You'll now receive emails from Gap. Check your inbox for your exclusive welcome offer. ​,1,0
You must login before you make a recurring purchase.,1,0
You are using an unsupported browser or your browser might be in the Compatibility View mode,1,0
yemi from New York,1,0
"With monogrammed rain jackets and coverups, you can sport your own personal touch rain or shine. Get cozy at night in your personalized pajamas and step out in style in any of our monogrammed tops or dresses.",1,0
Winner of the High Times Cup Best Glass Award,1,0
"Whether you’re making a splash in your new embroidered duck boots or sinking your toes in the sand in a pair of chic monogrammed sandals, you never have to leave your house without sporting your initials again!",1,0
Where every day is a one-day sale.,1,0
What are you looking for?,1,0
We'll start sewing and ship your order in 12-18 business days,1,0
We value your input. Share your review so everyone else can enjoy it too.,1,0
We offer upgraded shipping options at checkout.,1,0
we have afterpay,1,0
"We detected that you may have open carts on other devices, did you want to merge items from those?",1,0
We Believe in,1,0
Was: $73.59,1,0
Was: $43.69,1,0
Wardrobe Must-Have,1,0
View All New In,1,0
View 40 items,1,0
"Videos on our Staff Picks - Most Popular Bongs, Vapes & Pipes",1,0
Valerie from California,1,0
UP TO 80% OFF,1,0
UP TO 70% OFF SALE!,1,0
Up to 30% off select styles:,1,0
Up to 30% off Curated Styles,1,0
Up to £15,1,0
UK16/EU 44,1,0
UK 5/EU 38,1,0
UK 5.5/EU 38.5,1,0
UK 4/EU 37,1,0
UK 4.5/EU 37.5,1,0
UK 22/EU 50,1,0
UK 20/EU 48,1,0
UK 18/EU 46,1,0
UK 16/EU 44,1,0
UK 14/EU 42,1,0
UK 10/EU 38,1,0
Turnaround Time,1,0
Try it before you buy it,1,0
Trending Street Style,1,0
Trade-In Program,1,0
Top Up Your Account in Store,1,0
to get 5% off your order!,1,0
tment. Browse for essentials in our men's underwear sale as well as every day staples in our men's trousers sale and range of sale t-shirts.,1,0
Tim from Arizona,1,0
Tie Dye High Stretch Sports Leggings,1,0
Thomas from California,1,0
This piece looks amazing. It was delivered in perfect condition. If your willing to spend this much money it is defiantly worth it.,1,0
"These cookies are necessary for the website to function and cannot be switched off in our systems. They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms.",1,0
These are your special gifts,1,0
There really isn��t anything I can say that hasn��t already been said. If somebody said it was 300.00 I would say it��s a good buy.   At 149.00 it��s almost like stealing,1,0
"The double tree perc I bought is now my life partner. It is perfect, wouldn't change a thing. Saving this website for any future needs ?",1,0
Thank you for your question.,1,0
Thank you for your answer.,1,0
Thank you for submitting your review.,1,0
Tarik from Illinois,1,0
Tall New In,1,0
Tall Limited Gothic Applique Tracksuit,1,0
Surplice Neck Shirred Waist Ruffle Hem Dress,1,0
Surplice Neck Drop Shoulder Belted Sweater Dress,1,0
Summer Sale,1,0
Square Neck Ruffle Armhole Dress,1,0
SPEND JUST $99,1,0
Sonia  from Washington,1,0
Some people switch from Verizon to T-Mobile.?But one of the most rewarding switches is going from dry herb to concentrates.,1,0
Some functionality will be limited.,1,0
"Small re-orders, let's do it",1,0
Sign up to receive emails and get 15% off* your next regular-priced purchase.,1,0
Sign up for SheIn style news,1,0
Sign in to receive the vouchers below,1,0
Sign in / Register,1,0
Sign in,1,0
Sign In,1,0
Shop New In,1,0
SHOP NEW IN,1,0
SHEIN Zip Up Windbreaker Puffer Hooded Coat,1,0
SHEIN Zip Up Split Hem Drawstring Hoodie,1,0
SHEIN X Les Do Makeup High Waist Ripped Straight Leg Jeans,1,0
SHEIN V-neck Bishop Sleeve Empire Waist Dress,1,0
SHEIN Tie Dye One Shoulder Drawstring Hem Bodycon Dress,1,0
SHEIN SXY Lace Up Backless Split Thigh Bodycon Dress,1,0
SHEIN Sweetheart Neck Single Breasted Lace A-line Dress,1,0
