content,Classification,prediction
John watched this keyboard just now,0,1
36 watchers are on this page now,0,1
Eleven viewers are on this page,0,1
Item finishes in ten hours,0,1
Turnaround Time,1,0
Tim from Arizona,1,0
Tall Limited Gothic Applique Tracksuit,1,0
Sonia  from Washington,1,0
SALE & OFFERS,1,0
Popup content ends,1,0
popular times,1,0
paul from Massachusetts,1,0
Order Process,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
Offer applies to first-time registrants,1,0
New Users Only,1,0
Nathaniel from Indiana,1,0
Nancy from Connecticut,1,0
Most Popular,1,0
Miguel from Puerto Rico,1,0
Megan from Florida,1,0
Manually enter in a birthdate instead,1,0
Lauren from Ohio,1,0
Kim from Florida,1,0
keenan  from Indiana,1,0
Josh from Missouri,1,0
items in row,1,0
Iosif from Washington,1,0
Invest in High Tide,1,0
Images only,1,0
"If you break this product, your next one is 50% off!",1,0
Group Order Form,1,0
Grayson from Massachusetts,1,0
Get This Deal!,1,0
Free extended christmas returns,1,0
EXTRA 15% OFF EVERYTHING!*,1,0
elliot from Nevada,1,0
Dustin from Washington,1,0
Collin  from Pennsylvania,1,0
Charles from Florida,1,0
Catherine from Arizona,1,0
Brittaney from Florida,1,0
Brayden from Alabama,1,0
Bethany from Indiana,1,0
Approve Order,1,0
Andrew from Connecticut,1,0
Added to Likes!,1,0
"A third-party browser plugin, such as Ghostery or NoScript, is preventing JavaScript from running. Additional information is available in this",1,0
"5 Days,",1,0
30% Off Suits,1,0
"30 Minutes,",1,0
20% OFF,1,0
1st order,1,0
15% off,1,0
15% OFF,1,0
15 Seconds,1,0
0 SOLD,0,1
$20 OFF DUCK BOOTS,1,0
(30% OFF),1,0
