content,Classification,prediction
Paul watched this items 10 minutes ago,0,1
Paul watched this 10 minutes ago,0,1
Paul watched this keyboard 10 minutes ago,0,1
36 watchers are on this page now,0,1
Eleven viewers are on this page,0,1
Jordan gives a like 2 mins ago,0,1
Item is selling fast ,0,1
Selling Fast,0,1
 ends soon,0,1
Item ends soon,0,1
finishes in 2 days,0,1
Item finishes in 2 days,0,1
 finishes in ten hours,0,1
Item finishes in ten hours,0,1
Deal finishes in ten hours,0,1
This item finishes in ten hours,0,1
Your cart is currently empty.,1,0
You'll now receive emails from Gap. Check your inbox for your exclusive welcome offer. ​,1,0
tment. Browse for essentials in our men's underwear sale as well as every day staples in our men's trousers sale and range of sale t-shirts.,1,0
This piece looks amazing. It was delivered in perfect condition. If your willing to spend this much money it is defiantly worth it.,1,0
There really isn��t anything I can say that hasn��t already been said. If somebody said it was 300.00 I would say it��s a good buy.   At 149.00 it��s almost like stealing,1,0
"The double tree perc I bought is now my life partner. It is perfect, wouldn't change a thing. Saving this website for any future needs ?",1,0
Tall Limited Gothic Applique Tracksuit,1,0
Popup content ends,1,0
popular times,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
Most Popular,1,0
More                                exclusive offers Only in EUR,1,0
Last Chance,0,1
"If you're looking for a discreet, reliable, and multi-purpose vaporizer at a great price, the?Pulsar Shift is the unit for you.",1,0
I got this as a gift for my hubby & we both love it. It hits smooth and the glass is nice and thick. Highly recommend it & thank you smoke cartel staff for getting it out quickly!,1,0
"For Order Over 75,00€",1,0
"For Order Over 45,00€",1,0
"For Order Over 115,00€",1,0
For an Exclusive 10% Off,1,0
EXTRA 15% OFF EVERYTHING!*,1,0
"A third-party browser plugin, such as Ghostery or NoScript, is preventing JavaScript from running. Additional information is available in this",1,0
08/11/2021 03:00 ~ 15/11/2021 15:59,1,0
0 SOLD,0,1
"""It��s for both dabs and flowers and I can��t call it 100% cough free but I definitely don��t feel like I��m gonna have any more coughing fits like in the past this definitely calms the cough! """,1,0
