content,Classification,prediction
Your price for this item is $ 89,1,0
Your price for this item is $ 79,1,0
Your price for this item is $ 55,1,0
Your price for this item is $ 49,1,0
Your price for this item is $ 11,1,0
The product is selling fast ,0,1
Your price for this item is $,1,0
What are you looking for?,1,0
"The double tree perc I bought is now my life partner. It is perfect, wouldn't change a thing. Saving this website for any future needs ?",1,0
Tall Limited Gothic Applique Tracksuit,1,0
SPEND JUST $99,1,0
Some people switch from Verizon to T-Mobile.?But one of the most rewarding switches is going from dry herb to concentrates.,1,0
Popup content ends,1,0
popular times,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
Offer applies to first-time registrants,1,0
Offer applies at,1,0
New Users Only,1,0
New in Sale,1,0
New Customer Offer,1,0
More                                exclusive offers Only in EUR,1,0
Last Chance,0,1
items in row,1,0
item in row,1,0
Invest in High Tide,1,0
"In stock on November 13, 2021.",1,0
Images only,1,0
I got this jacket on a really good sale a few months ago and i am ecstatic with this. Easy to wash and the embroidery doesn't get damaged like you might expect.,1,0
BACK IN STOCK,1,0
Back In Stock,1,0
"30 Minutes,",1,0
08/11/2021 03:00 ~ 15/11/2021 15:59,1,0
0 SOLD,0,1
"""I've never tried one before, so my husband and my son told me that it's easy and bought me this. But I love it:sparkling_heart: Thank you:+1:""",1,0
