content,presence
€50 off when you spend over €500.,0
Check availability in your area,0
Discount % (High to Low),0
Check availability in your area,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
Compare (up to 4 items),0
"Versatile fridge freezerKeep all your household foods fresh and at their best in the Beko CXFP3582DS 50/50 Fridge Freezer. Whether you're chilling fruit and veg in the large salad crisper, making sure tomorrow's packed lunch stays fresh...",0
Fan cooling creates the ideal conditions in your fridge,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
Compare (up to 4 items),0
"Keep food fresher for longer  The Kenwood KSBSDIX20 American-Style Fridge Freezer helps you preserve your food for longer. The Multi Cooling System uses eight air ducts that spread cool air quickly and evenly to keep your food at its most fresh,...",0
Fan cooling creates the ideal conditions in your fridge,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
(from 04/08/2021 to 22/09/2021),0
Compare (up to 4 items),0
"Store the whole family's weekly shop with the Kenwood KMD60X19 Fridge Freezer.With side-by-side fridge doors and two large freezer drawers, there's plenty of room for everything from fruit and veg to a cheeky tub of ice cream.Tired of defrosting...",0
Fan cooling creates the ideal conditions in your fridge,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
(from 23/07/2021 to 31/08/2021),0
Compare (up to 4 items),0
"Plenty of storage space for the weekly shopIdeal for large families and busy households, the Kenwood KSBSX20 American-Style Fridge Freezer offers a massive 532 litres of storage space. You'll easily be able to keep your weekly shopping cool...",0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
Compare (up to 4 items),0
"Plenty of storageIdeal for large families and busy households, the Kenwood KSBSDX20 American-Style Fridge Freezer offers a massive 578 litres of storage space. You'll easily be able to keep your weekly shopping cool without needing to delicately...",0
Fan cooling creates the ideal conditions in your fridge,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
(from 08/07/2021 to 31/08/2021),0
Compare (up to 4 items),0
"Chilled water on demandFancy a cool glass of water on a hot day? The Hisense RB327N4WB1 50/50 Fridge Freezer has a built-in water dispenser, so you can enjoy a refreshing glass of chilled water at any time. Simply fill the internal reservoir -...",0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
(from 28/11/2020 to 09/03/2021),0
Compare (up to 4 items),0
Keep your food fresh and organisedIt's easy to stay organised with the Bosch Serie 2 KGN34NWEAG 50/50 Fridge Freezer and its MultiBox system. The larger drawer at the bottom of the fridge is perfect for storing your fruits and vegetables.And to...,0
Fan cooling creates the ideal conditions in your fridge,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
(from 08/09/2021 to 28/09/2021),0
Compare (up to 4 items),0
"Adjustable fridge space  You'll have plenty of space to keep your food fresh in the Beko CFG3552S 50/50 Fridge Freezer. Not only is it spacious, but you can adjust the glass shelves to the height you want them – ideal for storing taller items...",0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
(from 07/09/2021 to 05/10/2021),0
Compare (up to 4 items),0
My ZoneThe Haier HB16FMAA Fridge Freezer uses clever Fresher Techs technology to keep your food fresher for longer. With My Zone you can set different temperatures to suit different types of food. This lets you safely defrost raw chicken or fish...,0
Fan cooling creates the ideal conditions in your fridge,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
(from 31/07/2021 to 21/09/2021),0
Compare (up to 4 items),0
"Massive capacityGot a large family to feed? Then you'll need a large refrigerator, too. The Logik LSBSX20 American-Style Fridge Freezer fits the bill. It has a colossal amount of space for your entire weekly shopping, with plenty of shelves, and a...",0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
(from 02/06/2021 to 07/07/2021),0
Compare (up to 4 items),0
"Total no frostIce forming in the freezer is a bother to clean out, and uses up space that was reserved for ice-creams. The Samsung RS3000 RS52N3313SA/EU American-Style Fridge Freezer doesn't form frost, so you won't need a chisel to get through to...",0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
(from 20/07/2021 to 31/08/2021),0
Compare (up to 4 items),0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
(from 04/08/2021 to 10/09/2021),0
Compare (up to 4 items),0
"Keep food fresher for longer  The Kenwood KSBNDIX20 American-Style Fridge Freezer helps you preserve your food for longer. The Multi Cooling System uses eight air ducts that spread cool air quickly and evenly to keep your food at its most fresh,...",0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
(from 03/12/2020 to 22/09/2021),0
Compare (up to 4 items),0
Keep your food fresh and organisedIt's easy to stay organised with the Bosch Serie 2 KGN34NLEAG 50/50 Fridge Freezer and its MultiBox system. The larger drawer at the bottom of the fridge is perfect for storing your fruits and vegetables.And to...,0
Get FREE Delivery & Recycling on this Go Greener appliance. Enter code GG25IE at checkout,0
(from 26/05/2021 to 15/06/2021),0
Compare (up to 4 items),0
"Prevent ice build-upNever manually defrost your freezer again, with Bosch's NoFrost technology. NoFrost prevents ice build-up by collecting moisture on the evaporator rather than on the appliance itself, so you can utilise every inch of the space...",0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
(from 01/04/2021 to 08/07/2021),0
Compare (up to 4 items),0
Get FREE Delivery & Recycling on this Go Greener appliance. Enter code GG25IE at checkout,0
Compare (up to 4 items),0
"Prevent ice build-upNever manually defrost your freezer again, with Bosch's NoFrost technology. NoFrost prevents ice build-up by collecting moisture on the evaporator rather than on the appliance itself, so you can utilise every inch of the space...",0
Get FREE Delivery & Recycling on this Go Greener appliance. Enter code GG25IE at checkout,0
(from 02/06/2021 to 07/07/2021),0
Compare (up to 4 items),0
"Track your food effortlessly  Combining modern technology with elegant design, the Samsung RS6HA8880S9/EU American-Style Smart Fridge Freezer is sure to be the heart of your kitchen. It's got three built-in cameras that let you see what's inside...",0
Get FREE Delivery & Recycling on this Go Greener appliance. Enter code GG25IE at checkout,0
(from 26/05/2021 to 22/07/2021),0
Compare (up to 4 items),0
